代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
002883,中设股份,2026-08-10,8.81,0.73,4.0,9.6,15.4%,0.2%
000020,深华发Ａ,2026-08-10,11.15,0.74,4.9,9.2,20.7%,2.1%
002926,华西证券,2026-08-10,8.34,0.8,2.5,3.8,10.5%,1.0%
002930,宏川智慧,2026-08-10,9.02,0.8,24.3,34.5,12.0%,1.4%
600458,时代新材,2026-08-10,11.67,0.8,28.1,33.7,15.9%,0.8%
002056,横店东磁,2026-08-04,20.71,0.84,31.8,22.8,20.4%,3.1%
002908,德生科技,2026-08-10,7.29,0.88,11.6,15.2,12.2%,1.8%
002392,北京利尔,2026-08-10,7.58,0.89,4.0,8.1,27.1%,1.1%
000553,安道麦A,2026-08-10,5.48,0.9,11.6,14.6,11.1%,0.9%
603135,中重科技,2026-08-10,9.59,0.9,14.4,21.9,25.2%,1.2%
600847,万里股份,2026-08-10,12.54,0.92,21.1,28.5,13.2%,2.9%
002429,兆驰股份,2026-08-10,7.99,0.95,7.9,13.7,45.9%,-2.0%
603126,中材节能,2026-08-10,6.1,0.97,2.7,8.0,28.9%,2.4%
600727,鲁北化工,2026-08-10,7.67,1.0,3.8,10.4,21.3%,1.9%
002719,麦趣尔,2026-08-10,6.06,1.0,11.7,16.5,13.6%,3.4%
600623,华谊集团,2026-08-10,8.5,1.01,4.4,9.0,25.4%,2.3%
000610,西安旅游,2026-08-10,5.89,1.02,3.1,10.7,25.3%,2.6%
002786,银宝山新,2026-08-10,7.84,1.03,4.1,12.4,16.2%,2.1%
002286,保龄宝,2026-08-10,8.19,1.04,2.9,8.3,27.2%,2.4%
600173,卧龙新能,2026-08-10,6.3,1.07,2.9,8.5,23.8%,1.3%
603801,志邦家居,2026-08-10,6.0,1.11,6.0,9.9,20.0%,4.0%
