日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-04-16,002972,科安达,13.02,1.56%,2.54%,10,77.8%,3.31%,⭐⭐⭐,历史强势基因，重仓买入
2026-04-14,000061,农 产 品,7.3,1.11%,0.82%,4,75.0%,3.54%,⭐⭐⭐,历史强势基因，重仓买入
2026-04-14,002576,通达动力,19.02,1.93%,3.66%,8,62.5%,-0.28%,⭐⭐⭐,概率占优，分批建仓
2026-04-14,000006,深振业Ａ,8.85,3.15%,2.25%,8,50.0%,11.77%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-14,002097,山河智能,10.13,1.1%,1.28%,12,45.5%,-2.22%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-14,600199,金种子酒,8.14,1.24%,1.33%,12,25.0%,-2.04%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-16,002790,瑞尔特,7.77,1.44%,1.11%,13,15.4%,-5.18%,⭐⭐⭐,历史表现平平，轻仓试错
