日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-04-14,000061,农 产 品,7.3,1.11%,0.82%,4,75.0%,3.54%,⭐⭐⭐,历史强势基因，重仓买入
2026-04-14,600135,乐凯胶片,10.18,0.79%,2.97%,8,75.0%,6.67%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-04-14,603601,再升科技,14.2,3.5%,20.74%,7,71.4%,11.68%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-04-14,000995,皇台酒业,13.67,1.64%,7.56%,14,71.4%,17.60%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-04-14,002576,通达动力,19.02,1.93%,3.66%,8,62.5%,-0.28%,⭐⭐⭐,概率占优，分批建仓
2026-04-14,000572,海马汽车,5.88,0.86%,2.45%,13,58.3%,9.73%,⭐⭐⭐,概率占优，分批建仓
2026-04-14,600219,南山铝业,6.38,3.57%,2.91%,7,50.0%,10.13%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-14,000006,深振业Ａ,8.85,3.15%,2.25%,8,50.0%,11.77%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-14,002097,山河智能,10.13,1.1%,1.28%,12,45.5%,-2.22%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-14,605388,均瑶健康,6.66,3.1%,1.97%,12,41.7%,6.27%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-14,600419,天润乳业,9.72,1.04%,1.16%,16,25.0%,-4.49%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-14,002016,世荣兆业,5.92,1.89%,1.24%,8,25.0%,-4.39%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-14,600199,金种子酒,8.14,1.24%,1.33%,12,25.0%,-2.04%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-14,002769,普路通,10.56,1.73%,1.82%,13,15.4%,-2.28%,⭐⭐⭐,历史表现平平，轻仓试错
