日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-04-28,603909,建发合诚,12.04,2.38%,2.92%,8,75.0%,4.44%,⭐⭐⭐,历史强势基因，重仓买入
2026-04-28,000950,重药控股,5.95,1.19%,2.08%,7,71.4%,1.86%,⭐⭐⭐,历史强势基因，重仓买入
2026-04-28,603269,海鸥股份,14.78,1.44%,5.93%,15,66.7%,8.54%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-04-28,000922,佳电股份,14.53,4.31%,3.78%,11,63.6%,-1.24%,⭐⭐⭐,概率占优，分批建仓
2026-04-28,603225,新凤鸣,17.62,2.8%,0.89%,12,54.5%,-1.15%,⭐⭐⭐,概率占优，分批建仓
2026-04-28,000498,山东路桥,5.78,1.4%,0.95%,6,33.3%,-0.23%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-28,601058,赛轮轮胎,14.5,7.49%,3.93%,13,16.7%,-3.79%,⭐⭐⭐,历史表现平平，轻仓试错
