日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-04-20,603885,吉祥航空,12.24,1.92%,0.83%,12,72.7%,5.29%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-04-20,003003,天元股份,13.31,1.14%,2.22%,8,62.5%,1.55%,⭐⭐⭐,概率占优，分批建仓
2026-04-20,603886,元祖股份,13.4,2.13%,2.6%,10,60.0%,1.57%,⭐⭐⭐,概率占优，分批建仓
2026-04-20,002763,汇洁股份,8.11,1.25%,1.68%,14,57.1%,2.42%,⭐⭐⭐,概率占优，分批建仓
2026-04-20,002427,尤夫股份,6.52,0.93%,1.71%,7,57.1%,2.13%,⭐⭐⭐,概率占优，分批建仓
2026-04-20,600095,湘财股份,9.6,1.8%,1.13%,15,46.7%,2.70%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-20,002164,宁波东力,12.96,0.86%,1.61%,10,44.4%,6.02%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-20,600817,宇通重工,12.77,3.57%,1.72%,16,37.5%,0.15%,⭐⭐⭐,历史表现平平，轻仓试错
