日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-04-10,600212,绿能慧充,7.51,5.18%,5.4%,11,9.1%,-5.37%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-10,000600,建投能源,9.04,1.01%,1.67%,8,85.7%,6.34%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-04-10,600719,大连热电,6.89,3.45%,4.51%,11,50.0%,6.00%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-10,600156,华升股份,8.15,9.99%,4.39%,12,41.7%,-1.70%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-10,603429,集友股份,10.8,4.05%,1.54%,6,40.0%,-2.15%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-10,002012,凯恩股份,6.82,2.87%,4.41%,15,40.0%,0.01%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-10,000670,盈方微,8.15,9.99%,9.64%,13,38.5%,-1.54%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-10,002322,理工能科,13.57,2.73%,2.14%,8,28.6%,-0.02%,⭐⭐⭐,历史表现平平，轻仓试错
2026-04-10,000856,冀东装备,10.99,2.42%,6.7%,8,25.0%,6.47%,⭐⭐⭐,历史表现平平，轻仓试错
