日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-06-12,000510,新金路,19.37,9.99%,11.99%,8,87.5%,24.53%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-06-12,000600,建投能源,10.27,1.99%,4.55%,7,85.7%,7.78%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-06-12,002053,云南能投,10.62,2.02%,1.0%,4,75.0%,2.88%,⭐⭐⭐,历史强势基因，重仓买入
2026-06-12,001299,美能能源,11.24,9.98%,3.29%,14,71.4%,2.23%,⭐⭐⭐,历史强势基因，重仓买入
2026-06-12,600222,太龙药业,7.9,3.81%,3.25%,7,71.4%,3.39%,⭐⭐⭐,历史强势基因，重仓买入
2026-06-12,603015,弘讯科技,13.27,4.32%,9.83%,18,61.1%,1.57%,⭐⭐⭐,概率占优，分批建仓
2026-06-12,601600,中国铝业,10.8,4.55%,2.93%,6,60.0%,2.81%,⭐⭐⭐,概率占优，分批建仓
2026-06-12,600857,宁波中百,15.58,10.03%,8.0%,9,55.6%,0.33%,⭐⭐⭐,概率占优，分批建仓
2026-06-12,600576,祥源文旅,6.18,9.96%,6.59%,12,50.0%,2.99%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-12,600558,大西洋,5.42,2.85%,1.8%,12,50.0%,-0.65%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-12,002702,海欣食品,5.12,2.4%,3.13%,12,41.7%,-3.05%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-12,002688,金河生物,5.0,2.46%,1.31%,12,33.3%,-4.05%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-12,600601,方正科技,12.89,9.98%,8.88%,5,20.0%,-4.72%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-12,603518,锦泓集团,8.37,2.2%,1.32%,11,18.2%,-5.64%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-12,600233,圆通速递,17.17,1.3%,0.54%,7,100.0%,8.47%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
