日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-06-05,603949,雪龙集团,15.56,2.3%,1.63%,8,50.0%,4.87%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-05,002892,科力尔,10.88,10.01%,6.4%,4,50.0%,9.94%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-05,002909,集泰股份,5.81,2.47%,2.16%,9,44.4%,7.58%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-05,002196,方正电机,13.68,4.35%,12.74%,13,38.5%,-0.63%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-05,000159,国际实业,7.0,1.74%,7.85%,10,33.3%,-8.28%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-05,600143,金发科技,16.89,3.49%,3.8%,4,25.0%,-5.35%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-05,603505,金石资源,18.33,1.44%,2.77%,4,0.0%,-4.52%,⭐⭐⭐,历史表现平平，轻仓试错
