日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-06-22,002096,易普力,9.72,4.4%,1.08%,11,54.5%,0.25%,⭐⭐⭐,概率占优，分批建仓
2026-06-22,002095,生 意 宝,14.42,8.18%,3.82%,14,53.8%,-1.65%,⭐⭐⭐,概率占优，分批建仓
2026-06-22,603648,畅联股份,9.05,6.47%,2.73%,10,50.0%,-2.59%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-22,000987,越秀资本,8.23,10.03%,1.84%,2,50.0%,15.59%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-22,603898,好莱客,12.76,2.08%,1.35%,7,42.9%,-1.51%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-22,003042,中农联合,13.19,1.31%,3.62%,19,31.6%,-1.69%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-22,000567,海德股份,6.04,4.86%,1.7%,5,0.0%,-7.77%,⭐⭐⭐,历史表现平平，轻仓试错
