code,name,advice,score,7日预期,14日预期,20日预期
600059,古越龙山,重点关注/一击必中,90,等待验证,等待验证,等待验证
002780,三夫户外,重点关注/一击必中,90,等待验证,等待验证,等待验证
603056,德邦股份,重点关注/一击必中,90,等待验证,等待验证,等待验证
600371,万向德农,轻仓试错,60,等待验证,等待验证,等待验证
600352,浙江龙盛,轻仓试错,60,等待验证,等待验证,等待验证
600732,爱旭股份,轻仓试错,50,等待验证,等待验证,等待验证
002412,汉森制药,轻仓试错,50,等待验证,等待验证,等待验证
600063,皖维高新,轻仓试错,50,等待验证,等待验证,等待验证
600382,广东明珠,轻仓试错,50,等待验证,等待验证,等待验证
600084,中信尼雅,观察,30,等待验证,等待验证,等待验证
600273,嘉化能源,观察,20,等待验证,等待验证,等待验证
601777,千里科技,观察,20,等待验证,等待验证,等待验证
600072,中船科技,观察,20,等待验证,等待验证,等待验证
600313,农发种业,观察,20,等待验证,等待验证,等待验证
600403,大有能源,观察,20,等待验证,等待验证,等待验证
603429,集友股份,观察,0,等待验证,等待验证,等待验证
600778,友好集团,观察,0,等待验证,等待验证,等待验证
