code,name,advice,score,7日预期,14日预期,20日预期
603189,网达软件,重点关注/一击必中,70,等待验证,等待验证,等待验证
605555,德昌股份,轻仓试错,60,等待验证,等待验证,等待验证
603158,腾龙股份,轻仓试错,50,等待验证,等待验证,等待验证
002221,东华能源,观察,30,等待验证,等待验证,等待验证
603038,华立股份,观察,30,等待验证,等待验证,等待验证
002962,五方光电,观察,30,等待验证,等待验证,等待验证
600999,招商证券,观察,30,等待验证,等待验证,等待验证
002860,星帅尔,观察,30,等待验证,等待验证,等待验证
002088,鲁阳节能,观察,30,等待验证,等待验证,等待验证
600873,梅花生物,观察,30,等待验证,等待验证,等待验证
600143,金发科技,观察,30,等待验证,等待验证,等待验证
600059,古越龙山,观察,30,等待验证,等待验证,等待验证
002875,安奈儿,观察,20,等待验证,等待验证,等待验证
603056,德邦股份,观察,20,等待验证,等待验证,等待验证
000626,远大控股,观察,20,等待验证,等待验证,等待验证
600604,市北高新,观察,20,等待验证,等待验证,等待验证
600689,上海三毛,观察,20,等待验证,等待验证,等待验证
002507,涪陵榨菜,观察,0,等待验证,等待验证,等待验证
600192,长城电工,观察,0,等待验证,等待验证,等待验证
002236,大华股份,观察,0,等待验证,等待验证,等待验证
