code,name,advice,score,7日预期,14日预期,20日预期
601139,深圳燃气,重点关注/一击必中,90,等待验证,等待验证,等待验证
601919,中远海控,轻仓试错,60,等待验证,等待验证,等待验证
603056,德邦股份,轻仓试错,60,等待验证,等待验证,等待验证
002221,东华能源,轻仓试错,50,等待验证,等待验证,等待验证
002973,侨银股份,观察,30,等待验证,等待验证,等待验证
600516,方大炭素,观察,20,等待验证,等待验证,等待验证
600336,澳柯玛,观察,20,等待验证,等待验证,等待验证
