代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
002753,永东股份,2026-06-02,6.62,0.49,18.8,20.5,14.2%,-0.8%
603348,文灿股份,2026-06-02,16.46,0.52,33.3,17.8,16.0%,-1.0%
002749,国光股份,2026-06-02,9.42,0.56,33.3,11.2,32.7%,-0.1%
002296,辉煌科技,2026-06-02,10.18,0.58,28.5,14.0,13.0%,-0.3%
000928,中钢国际,2026-06-02,6.01,0.61,29.3,23.8,11.4%,-0.7%
002274,华昌化工,2026-06-02,5.74,0.72,29.7,20.9,12.6%,-0.2%
600055,万东医疗,2026-06-02,12.84,0.73,30.6,19.0,11.0%,-2.4%
000683,博源化工,2026-06-02,7.26,0.76,29.7,17.7,17.3%,0.0%
603291,联合水务,2026-06-02,10.56,0.76,29.9,20.9,11.7%,0.2%
002237,恒邦股份,2026-06-02,13.83,0.76,33.5,20.9,13.4%,1.9%
000821,京山轻机,2026-06-02,9.06,0.79,23.7,15.2,25.3%,1.2%
002040,南 京 港,2026-06-02,9.13,0.82,23.6,14.7,11.9%,-1.5%
603896,寿仙谷,2026-06-02,15.6,0.82,31.8,31.6,15.7%,-1.2%
001217,华尔泰,2026-06-02,9.97,0.84,28.5,13.4,18.6%,-1.2%
600328,中盐化工,2026-06-02,6.92,0.85,35.0,17.5,24.6%,-1.8%
000655,金岭矿业,2026-06-02,7.35,0.86,33.7,27.7,17.5%,-0.9%
002153,石基信息,2026-06-02,8.41,0.88,30.6,21.2,17.1%,-0.8%
600598,北大荒,2026-06-02,14.49,0.89,29.2,18.5,11.5%,-0.8%
603966,法兰泰克,2026-06-02,9.33,0.9,10.7,7.0,37.2%,-2.0%
600230,沧州大化,2026-06-02,15.09,0.91,33.2,16.4,24.4%,-1.6%
600822,上海物贸,2026-06-02,8.89,0.95,31.0,21.9,11.1%,-1.9%
600668,尖峰集团,2026-06-02,8.13,0.98,33.9,22.7,24.9%,0.4%
601212,白银有色,2026-06-02,6.41,1.03,32.4,21.8,23.3%,2.1%
603969,银龙股份,2026-06-02,8.12,1.04,28.7,16.7,14.3%,0.7%
605050,福然德,2026-06-02,11.08,1.13,26.2,17.9,15.2%,0.5%
