代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
603071,物产环能,2026-06-16,12.2,0.57,28.2,16.4,12.7%,-1.7%
002783,凯龙股份,2026-06-16,7.45,0.63,31.2,20.7,18.0%,-1.7%
601798,蓝科高新,2026-06-16,7.37,0.66,19.5,9.1,17.5%,0.3%
002274,华昌化工,2026-06-16,5.23,0.7,34.0,23.9,18.8%,-1.9%
002243,力合科创,2026-06-16,7.33,0.74,15.5,13.9,18.9%,2.5%
603105,芯能科技,2026-06-16,7.8,0.75,27.3,17.0,31.0%,0.0%
000625,长安汽车,2026-06-16,7.53,0.76,31.5,21.4,22.0%,-1.8%
000910,大亚圣象,2026-06-16,5.89,0.77,26.8,14.5,14.2%,0.0%
000559,万向钱潮,2026-06-16,13.79,0.77,30.1,26.1,16.0%,-0.9%
600818,中路股份,2026-06-16,5.77,0.84,29.3,33.2,26.3%,0.9%
000821,京山轻机,2026-06-16,9.09,0.87,15.6,40.5,16.6%,0.4%
603101,汇嘉时代,2026-06-16,6.89,0.88,31.0,18.2,22.2%,-0.4%
002121,科陆电子,2026-06-16,6.14,0.9,32.0,12.5,21.4%,0.5%
002908,德生科技,2026-06-16,7.15,0.9,33.3,30.9,17.2%,-0.1%
002480,新筑股份,2026-06-16,5.66,0.91,22.7,14.5,11.3%,0.9%
002096,易普力,2026-06-16,9.72,0.92,27.6,21.4,15.7%,3.8%
002911,佛燃能源,2026-06-16,10.48,0.93,20.0,15.9,20.7%,0.0%
600651,飞乐音响,2026-06-16,6.16,0.94,25.8,25.8,10.5%,-0.2%
002698,博实股份,2026-06-16,11.68,0.95,14.6,24.8,15.2%,1.7%
603817,海峡环保,2026-06-16,5.87,0.95,32.1,23.7,19.4%,0.2%
000570,苏常柴Ａ,2026-06-16,5.19,0.97,28.9,24.0,14.6%,-0.6%
002227,奥 特 迅,2026-06-16,7.17,1.04,25.8,13.1,19.9%,5.0%
600212,绿能慧充,2026-06-16,5.88,1.06,34.1,22.6,19.7%,0.9%
002347,泰尔股份,2026-06-16,6.63,1.08,31.9,25.5,18.6%,1.5%
000537,中绿电,2026-06-16,8.72,1.12,18.9,10.3,19.3%,1.3%
603700,宁水集团,2026-06-16,10.83,1.13,22.0,22.9,14.7%,-0.5%
