代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
605599,菜百股份,2026-06-18,14.57,0.52,34.9,29.9,31.7%,-1.3%
600973,宝胜股份,2026-06-18,6.52,0.64,4.9,11.8,12.7%,-2.1%
002423,中粮资本,2026-06-18,8.81,0.75,6.4,10.4,14.5%,-2.5%
002232,启明信息,2026-06-18,14.91,0.75,33.9,31.9,14.3%,0.3%
600640,国脉文化,2026-06-18,10.55,0.79,24.1,14.0,13.7%,0.5%
603918,金桥信息,2026-06-18,10.47,0.81,29.1,19.9,21.5%,-0.1%
002649,博彦科技,2026-06-18,8.82,0.81,30.5,17.3,20.9%,0.2%
603000,人民网,2026-06-18,16.1,0.82,27.6,13.8,16.3%,-0.4%
002846,英联股份,2026-06-18,12.3,0.82,30.7,35.6,14.0%,-2.2%
000949,新乡化纤,2026-06-18,6.49,0.86,8.4,11.2,14.9%,-5.3%
002376,新北洋,2026-06-18,6.05,0.86,34.8,34.0,13.9%,-0.3%
000987,越秀资本,2026-06-18,7.48,0.89,6.5,10.0,15.1%,-3.0%
002537,海联金汇,2026-06-18,5.8,0.93,6.9,10.1,25.1%,-2.5%
002040,南 京 港,2026-06-18,8.35,0.96,10.1,9.4,19.7%,-2.7%
603887,城地香江,2026-06-18,10.53,1.02,34.1,16.0,37.0%,-0.7%
600633,浙数文化,2026-06-18,10.92,1.03,30.6,15.8,15.1%,1.6%
601108,财通证券,2026-06-18,7.52,1.08,2.7,6.8,16.2%,-4.6%
600331,宏达股份,2026-06-18,12.8,1.1,12.6,15.5,22.5%,-1.8%
