代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
603766,隆鑫通用,2026-06-24,11.49,0.54,21.2,27.5,22.2%,-1.8%
002412,汉森制药,2026-06-24,5.96,0.7,17.5,27.0,11.9%,-1.2%
002216,三全食品,2026-06-24,11.81,0.77,23.1,24.5,10.7%,-0.7%
002545,东方铁塔,2026-06-24,18.98,0.83,27.1,22.8,17.3%,1.7%
603719,良品铺子,2026-06-24,9.13,0.85,28.4,35.3,12.0%,-1.3%
600587,新华医疗,2026-06-24,12.14,0.88,20.6,35.3,11.6%,-0.6%
002264,新 华 都,2026-06-24,6.03,0.89,27.8,31.4,24.9%,-1.2%
603277,银都股份,2026-06-24,10.27,0.92,25.2,26.5,24.2%,0.5%
600721,百花医药,2026-06-24,7.07,1.04,22.4,27.5,17.9%,0.4%
600420,国药现代,2026-06-24,8.32,1.07,30.6,33.7,13.6%,-0.8%
