code,name,advice,score,7日预期,14日预期,20日预期
605069,正和生态,重点关注/一击必中,90,等待验证,等待验证,等待验证
600694,大商股份,重点关注/一击必中,90,等待验证,等待验证,等待验证
600172,黄河旋风,重点关注/一击必中,90,等待验证,等待验证,等待验证
002195,岩山科技,重点关注/一击必中,90,等待验证,等待验证,等待验证
600983,惠而浦,重点关注/一击必中,90,等待验证,等待验证,等待验证
603877,太平鸟,重点关注/一击必中,90,等待验证,等待验证,等待验证
603879,永悦科技,轻仓试错,60,等待验证,等待验证,等待验证
002361,神剑股份,轻仓试错,60,等待验证,等待验证,等待验证
600909,华安证券,轻仓试错,60,等待验证,等待验证,等待验证
002634,棒杰股份,轻仓试错,50,等待验证,等待验证,等待验证
002296,辉煌科技,轻仓试错,50,等待验证,等待验证,等待验证
600576,祥源文旅,轻仓试错,50,等待验证,等待验证,等待验证
002066,瑞泰科技,轻仓试错,50,等待验证,等待验证,等待验证
600178,东安动力,轻仓试错,50,等待验证,等待验证,等待验证
002103,广博股份,轻仓试错,50,等待验证,等待验证,等待验证
000026,飞亚达,轻仓试错,50,等待验证,等待验证,等待验证
601886,江河集团,轻仓试错,50,等待验证,等待验证,等待验证
603028,赛福天,轻仓试错,50,等待验证,等待验证,等待验证
603617,君禾股份,轻仓试错,50,等待验证,等待验证,等待验证
000703,恒逸石化,轻仓试错,50,等待验证,等待验证,等待验证
600838,上海九百,观察,20,等待验证,等待验证,等待验证
002177,御银股份,观察,20,等待验证,等待验证,等待验证
603588,高能环境,观察,20,等待验证,等待验证,等待验证
603708,家家悦,观察,20,等待验证,等待验证,等待验证
600230,沧州大化,观察,20,等待验证,等待验证,等待验证
603660,苏州科达,观察,20,等待验证,等待验证,等待验证
603936,博敏电子,观察,20,等待验证,等待验证,等待验证
000530,冰山冷热,观察,0,等待验证,等待验证,等待验证
603878,武进不锈,观察,0,等待验证,等待验证,等待验证
002072,凯瑞德,观察,0,等待验证,等待验证,等待验证
