code,name,advice,score,7日预期,14日预期,20日预期
600694,大商股份,重点关注/一击必中,90,等待验证,等待验证,等待验证
603617,君禾股份,重点关注/一击必中,90,等待验证,等待验证,等待验证
600909,华安证券,重点关注/一击必中,90,等待验证,等待验证,等待验证
605162,新中港,重点关注/一击必中,90,等待验证,等待验证,等待验证
600967,内蒙一机,轻仓试错,60,等待验证,等待验证,等待验证
603488,展鹏科技,轻仓试错,60,等待验证,等待验证,等待验证
600983,惠而浦,轻仓试错,60,等待验证,等待验证,等待验证
600784,鲁银投资,轻仓试错,50,等待验证,等待验证,等待验证
601512,中新集团,轻仓试错,50,等待验证,等待验证,等待验证
002836,新宏泽,轻仓试错,50,等待验证,等待验证,等待验证
603602,纵横通信,轻仓试错,50,等待验证,等待验证,等待验证
600587,新华医疗,轻仓试错,50,等待验证,等待验证,等待验证
002103,广博股份,轻仓试错,50,等待验证,等待验证,等待验证
603028,赛福天,轻仓试错,50,等待验证,等待验证,等待验证
603339,四方科技,轻仓试错,50,等待验证,等待验证,等待验证
603333,尚纬股份,轻仓试错,50,等待验证,等待验证,等待验证
000532,华金资本,轻仓试错,50,等待验证,等待验证,等待验证
002945,华林证券,观察,20,等待验证,等待验证,等待验证
002029,七 匹 狼,观察,20,等待验证,等待验证,等待验证
002250,联化科技,观察,20,等待验证,等待验证,等待验证
002296,辉煌科技,观察,20,等待验证,等待验证,等待验证
603588,高能环境,观察,20,等待验证,等待验证,等待验证
