code,name,advice,score,7日预期,14日预期,20日预期
603339,四方科技,重点关注/一击必中,90,等待验证,等待验证,等待验证
002115,三维通信,重点关注/一击必中,70,等待验证,等待验证,等待验证
000592,平潭发展,重点关注/一击必中,70,等待验证,等待验证,等待验证
600352,浙江龙盛,轻仓试错,60,等待验证,等待验证,等待验证
603900,莱绅通灵,轻仓试错,60,等待验证,等待验证,等待验证
000758,中色股份,轻仓试错,60,等待验证,等待验证,等待验证
603916,苏博特,轻仓试错,60,等待验证,等待验证,等待验证
603212,赛伍技术,轻仓试错,60,等待验证,等待验证,等待验证
600987,航民股份,轻仓试错,60,等待验证,等待验证,等待验证
002185,华天科技,轻仓试错,60,等待验证,等待验证,等待验证
600589,大位科技,轻仓试错,60,等待验证,等待验证,等待验证
600172,黄河旋风,轻仓试错,60,等待验证,等待验证,等待验证
002144,宏达高科,轻仓试错,60,等待验证,等待验证,等待验证
000599,青岛双星,轻仓试错,60,等待验证,等待验证,等待验证
002160,常铝股份,轻仓试错,60,等待验证,等待验证,等待验证
600655,豫园股份,轻仓试错,60,等待验证,等待验证,等待验证
002114,罗平锌电,轻仓试错,60,等待验证,等待验证,等待验证
603056,德邦股份,轻仓试错,60,等待验证,等待验证,等待验证
002291,遥望科技,轻仓试错,60,等待验证,等待验证,等待验证
002446,盛路通信,轻仓试错,60,等待验证,等待验证,等待验证
603616,韩建河山,轻仓试错,60,等待验证,等待验证,等待验证
002169,智光电气,轻仓试错,60,等待验证,等待验证,等待验证
601600,中国铝业,轻仓试错,60,等待验证,等待验证,等待验证
002724,海洋王,轻仓试错,60,等待验证,等待验证,等待验证
002054,德美化工,轻仓试错,60,等待验证,等待验证,等待验证
002296,辉煌科技,轻仓试错,50,等待验证,等待验证,等待验证
603058,永吉股份,轻仓试错,50,等待验证,等待验证,等待验证
601163,三角轮胎,轻仓试错,50,等待验证,等待验证,等待验证
002103,广博股份,轻仓试错,50,等待验证,等待验证,等待验证
603303,得邦照明,轻仓试错,50,等待验证,等待验证,等待验证
000875,吉电股份,轻仓试错,50,等待验证,等待验证,等待验证
603708,家家悦,轻仓试错,50,等待验证,等待验证,等待验证
002634,棒杰股份,观察,40,等待验证,等待验证,等待验证
603602,纵横通信,观察,40,等待验证,等待验证,等待验证
600967,内蒙一机,观察,40,等待验证,等待验证,等待验证
600550,保变电气,观察,20,等待验证,等待验证,等待验证
600858,银座股份,观察,0,等待验证,等待验证,等待验证
002082,万邦德,观察,0,等待验证,等待验证,等待验证
002584,西陇科学,观察,0,等待验证,等待验证,等待验证
