代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
603855,华荣股份,2026-07-10,16.54,0.41,34.6,34.8,10.3%,-0.7%
603617,君禾股份,2026-07-10,6.54,0.79,26.0,27.7,12.6%,0.5%
600819,耀皮玻璃,2026-07-10,5.38,0.8,16.1,12.9,23.1%,0.9%
603272,联翔股份,2026-07-10,22.08,0.8,22.4,29.6,38.7%,-0.1%
002029,七 匹 狼,2026-07-10,8.0,0.81,24.3,34.1,15.4%,3.1%
002052,同洲电子,2026-07-10,8.08,0.9,28.7,29.0,19.8%,0.0%
601026,道生天合,2026-07-10,13.94,0.95,30.6,29.8,20.1%,0.9%
600510,黑牡丹,2026-07-10,6.9,0.97,20.0,16.4,27.0%,3.1%
600973,宝胜股份,2026-07-10,6.27,0.97,24.6,15.5,17.0%,2.3%
600876,凯盛新能,2026-07-10,6.89,1.04,28.6,14.8,26.9%,1.8%
002836,新宏泽,2026-07-10,9.28,1.04,34.8,26.4,23.4%,2.1%
600468,百利电气,2026-07-10,5.25,1.05,16.5,19.2,27.7%,2.5%
002227,奥 特 迅,2026-07-10,6.46,1.05,26.1,33.3,22.3%,3.7%
002053,云南能投,2026-07-10,9.39,1.05,32.5,29.6,17.2%,4.2%
002719,麦趣尔,2026-07-10,5.83,1.06,35.0,36.4,25.4%,4.9%
603729,龙韵股份,2026-07-10,10.94,1.07,31.7,42.3,23.1%,1.8%
600578,京能电力,2026-07-10,5.89,1.08,33.0,15.7,16.8%,1.2%
000533,顺钠股份,2026-07-10,8.9,1.1,34.6,21.2,35.4%,1.5%
002510,天汽模,2026-07-10,5.36,1.12,21.1,22.7,21.1%,2.1%
002835,同为股份,2026-07-10,11.56,1.12,34.4,33.4,19.0%,1.3%
600011,华能国际,2026-07-10,6.84,1.14,13.3,12.2,10.7%,2.1%
