代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
603033,三维股份,2026-07-15,8.27,0.48,13.5,10.5,23.5%,1.8%
002312,川发龙蟒,2026-07-15,8.1,0.53,11.2,10.1,19.4%,0.8%
002833,弘亚数控,2026-07-15,16.66,0.54,24.5,19.8,13.3%,2.3%
605166,聚合顺,2026-07-15,8.33,0.55,27.7,11.7,25.3%,2.1%
002810,山东赫达,2026-07-15,20.83,0.59,17.6,17.8,18.8%,1.7%
600884,杉杉股份,2026-07-15,12.14,0.6,20.3,25.2,18.3%,-0.3%
600215,派斯林,2026-07-15,5.86,0.61,21.3,24.1,10.6%,2.4%
600933,爱柯迪,2026-07-15,13.72,0.62,31.5,22.5,17.7%,1.0%
603037,凯众股份,2026-07-15,9.65,0.63,29.2,20.7,31.1%,0.5%
603320,迪贝电气,2026-07-15,16.47,0.64,22.9,17.8,31.3%,0.1%
605183,确成股份,2026-07-15,14.38,0.64,32.3,19.1,11.3%,2.6%
000065,北方国际,2026-07-15,8.78,0.67,26.4,13.8,33.6%,1.7%
603758,秦安股份,2026-07-15,9.48,0.68,29.7,31.7,16.6%,0.2%
600509,天富能源,2026-07-15,7.32,0.7,23.7,9.0,17.8%,2.4%
002372,伟星新材,2026-07-15,7.83,0.75,25.6,23.8,20.7%,2.6%
603132,金徽股份,2026-07-15,15.32,0.75,29.8,24.4,14.8%,-1.9%
603166,福达股份,2026-07-15,10.83,0.77,27.9,10.0,25.6%,2.0%
002034,旺能环境,2026-07-15,14.22,0.77,33.9,14.3,27.3%,2.3%
600475,华光环能,2026-07-15,13.29,0.78,32.4,21.2,18.7%,-2.7%
600623,华谊集团,2026-07-15,8.11,0.78,34.2,22.7,11.6%,0.8%
603585,苏利股份,2026-07-15,9.58,0.8,10.3,11.4,70.0%,1.0%
000422,湖北宜化,2026-07-15,12.97,0.85,34.4,16.2,12.1%,1.3%
000155,川能动力,2026-07-15,11.09,0.89,31.4,23.5,28.7%,-0.7%
603511,爱慕股份,2026-07-15,12.0,0.91,20.0,42.9,10.6%,0.1%
002011,盾安环境,2026-07-15,10.22,0.92,33.8,22.2,12.4%,0.8%
002545,东方铁塔,2026-07-15,16.4,0.94,19.5,21.7,27.6%,1.1%
603093,南华期货,2026-07-15,17.05,0.96,31.7,15.7,19.1%,1.6%
603876,鼎胜新材,2026-07-15,20.96,0.98,14.5,11.5,26.3%,2.4%
000881,中广核技,2026-07-15,6.17,0.98,15.7,28.7,17.5%,-0.2%
603759,海天股份,2026-07-15,6.96,1.02,30.7,18.2,16.7%,1.2%
000791,甘肃能源,2026-07-15,7.35,1.03,32.5,19.3,16.9%,2.6%
601777,千里科技,2026-07-15,7.61,1.04,28.1,14.9,32.1%,1.9%
002539,云图控股,2026-07-15,10.35,1.1,29.6,16.8,23.4%,2.0%
