代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
600894,广日股份,2026-07-13,7.49,0.54,22.2,21.7,16.1%,-0.7%
002719,麦趣尔,2026-07-13,5.65,0.7,27.4,36.4,28.5%,-3.1%
000710,贝瑞基因,2026-07-13,7.6,0.7,32.8,28.4,18.1%,-2.9%
002053,云南能投,2026-07-13,9.18,0.72,33.0,24.8,19.5%,-2.2%
600199,金种子酒,2026-07-13,6.27,0.77,33.0,33.3,19.1%,-2.9%
002030,达安基因,2026-07-13,5.05,0.87,33.3,42.2,16.5%,-1.2%
002029,七 匹 狼,2026-07-13,7.9,0.91,20.5,29.8,16.4%,-1.2%
002166,莱茵生物,2026-07-13,6.3,0.95,27.6,36.3,25.2%,-0.6%
002973,侨银股份,2026-07-13,10.21,1.03,23.3,23.1,21.3%,0.6%
002382,蓝帆医疗,2026-07-13,5.19,1.05,30.8,40.8,22.1%,-1.0%
002370,亚太药业,2026-07-13,5.46,1.05,33.8,43.0,10.3%,0.4%
000952,广济药业,2026-07-13,5.51,1.08,31.3,40.4,19.0%,-2.3%
603229,奥翔药业,2026-07-13,8.09,1.09,26.0,44.2,14.6%,0.0%
002351,漫步者,2026-07-13,9.23,1.09,33.3,37.7,14.6%,-1.6%
