代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
600598,北大荒,2026-07-01,11.03,0.52,17.0,13.6,35.5%,1.8%
603282,亚光股份,2026-07-01,14.63,0.52,18.8,20.0,22.1%,2.5%
603177,德创环保,2026-07-01,8.49,0.52,22.7,21.7,26.9%,2.7%
603165,荣晟环保,2026-07-01,13.12,0.55,20.7,14.8,24.2%,0.7%
000951,中国重汽,2026-07-01,19.85,0.6,32.1,25.3,13.2%,1.7%
002117,东港股份,2026-07-01,7.95,0.63,20.0,20.6,20.1%,0.9%
002166,莱茵生物,2026-07-01,6.4,0.63,27.3,20.5,28.9%,1.9%
603636,南威软件,2026-07-01,8.08,0.67,16.8,19.0,17.7%,2.4%
603586,金麒麟,2026-07-01,12.69,0.67,22.1,11.1,33.2%,2.4%
002469,三维化学,2026-07-01,5.79,0.71,15.3,15.7,22.9%,1.2%
002040,南 京 港,2026-07-01,7.68,0.71,28.7,11.0,26.3%,3.1%
002695,煌上煌,2026-07-01,10.26,0.73,31.8,28.1,13.1%,1.1%
002753,永东股份,2026-07-01,5.82,0.74,17.2,17.6,17.7%,3.0%
600476,湘邮科技,2026-07-01,8.99,0.74,27.9,23.3,22.5%,3.2%
002590,万安科技,2026-07-01,10.01,0.75,17.6,20.9,19.2%,0.1%
603098,森特股份,2026-07-01,10.53,0.75,20.5,21.2,24.6%,-0.2%
605166,聚合顺,2026-07-01,9.73,0.75,26.0,26.1,10.2%,1.5%
002054,德美化工,2026-07-01,6.88,0.75,28.6,19.5,16.5%,3.5%
601811,新华文轩,2026-07-01,11.1,0.75,30.7,23.7,18.0%,1.5%
603706,东方环宇,2026-07-01,17.86,0.76,21.6,22.2,17.3%,3.3%
600137,浪莎股份,2026-07-01,16.74,0.76,24.8,26.6,24.8%,3.1%
002492,恒基达鑫,2026-07-01,5.49,0.79,11.9,22.2,26.3%,1.5%
000819,岳阳兴长,2026-07-01,11.71,0.79,18.3,14.7,27.0%,3.4%
600873,梅花生物,2026-07-01,7.5,0.79,22.8,16.0,27.2%,2.0%
603258,电魂网络,2026-07-01,12.18,0.79,32.9,32.2,25.8%,1.6%
000803,山高环能,2026-07-01,7.0,0.79,33.3,28.9,13.5%,3.2%
603421,鼎信通讯,2026-07-01,6.16,0.8,15.1,22.4,24.6%,0.2%
600583,海油工程,2026-07-01,5.07,0.8,16.7,19.9,20.9%,0.8%
600480,凌云股份,2026-07-01,8.4,0.81,19.2,15.0,26.8%,1.1%
002887,绿茵生态,2026-07-01,10.37,0.81,26.6,24.8,20.6%,-1.0%
