代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
603106,恒银科技,2026-07-03,7.17,0.52,33.1,28.4,14.6%,0.8%
600602,云赛智联,2026-07-03,16.01,0.59,32.6,23.8,28.1%,0.6%
000967,盈峰环境,2026-07-03,10.48,0.6,32.1,34.1,13.5%,2.2%
600776,东方通信,2026-07-03,12.98,0.63,21.5,11.1,21.9%,2.0%
002608,江苏国信,2026-07-03,7.04,0.64,30.0,12.5,17.2%,1.4%
603060,国检集团,2026-07-03,5.69,0.68,32.5,13.7,17.8%,-1.9%
601798,蓝科高新,2026-07-03,7.4,0.69,21.3,35.9,12.7%,1.9%
600126,杭钢股份,2026-07-03,6.05,0.69,27.9,11.0,35.2%,0.2%
000537,中绿电,2026-07-03,7.44,0.7,34.4,13.9,31.2%,0.7%
600559,老白干酒,2026-07-03,11.48,0.71,34.9,28.6,12.0%,1.2%
600131,国网信通,2026-07-03,14.56,0.72,17.0,19.4,16.4%,1.8%
603912,佳力图,2026-07-03,7.7,0.72,26.1,16.6,26.8%,1.6%
600773,西藏城投,2026-07-03,12.93,0.72,28.3,19.3,46.2%,-0.5%
002416,爱施德,2026-07-03,9.09,0.73,21.4,17.2,30.2%,1.7%
001216,华瓷股份,2026-07-03,14.63,0.73,22.1,13.8,17.4%,0.9%
600192,长城电工,2026-07-03,6.61,0.73,24.0,17.8,18.9%,1.4%
600478,科力远,2026-07-03,5.07,0.73,26.8,20.3,28.5%,1.0%
603599,广信股份,2026-07-03,9.86,0.74,29.5,21.6,23.6%,-0.3%
000155,川能动力,2026-07-03,12.01,0.75,20.4,23.0,25.0%,-0.7%
000928,中钢国际,2026-07-03,5.04,0.77,18.9,14.5,23.1%,0.8%
000027,深圳能源,2026-07-03,6.27,0.77,19.7,11.6,13.0%,1.1%
600021,上海电力,2026-07-03,14.95,0.77,24.9,16.8,19.0%,1.6%
002846,英联股份,2026-07-03,10.77,0.79,27.1,15.2,25.6%,1.3%
002034,旺能环境,2026-07-03,15.5,0.79,34.2,19.8,20.1%,1.2%
600292,远达环保,2026-07-03,12.48,0.8,23.2,19.8,16.3%,-0.2%
600098,广州发展,2026-07-03,6.1,0.8,29.1,17.8,16.5%,1.5%
000626,远大控股,2026-07-03,6.43,0.8,31.7,20.1,23.6%,0.3%
002340,格林美,2026-07-03,6.69,0.81,24.4,20.7,19.1%,1.5%
600970,中材国际,2026-07-03,7.31,0.81,30.6,16.5,23.9%,1.7%
603201,XD常润股,2026-07-03,14.18,0.84,15.0,9.6,17.3%,4.2%
002373,千方科技,2026-07-03,7.2,0.84,31.9,24.1,18.0%,0.6%
002405,四维图新,2026-07-03,6.56,0.84,33.3,21.6,28.8%,1.2%
000533,顺钠股份,2026-07-03,9.46,0.86,24.0,10.2,32.3%,1.7%
002195,岩山科技,2026-07-03,6.53,0.86,30.1,19.1,23.6%,1.7%
002632,道明光学,2026-07-03,8.93,0.88,19.7,12.7,20.2%,2.3%
600724,宁波富达,2026-07-03,5.5,0.91,33.7,30.5,24.2%,2.2%
601998,中信银行,2026-07-03,6.99,0.92,24.4,15.8,11.9%,0.4%
002357,富临运业,2026-07-03,9.11,0.94,23.3,19.6,17.6%,0.7%
002324,普利特,2026-07-03,12.04,0.94,32.8,30.0,15.6%,0.7%
603811,诚意药业,2026-07-03,7.6,0.97,10.1,14.0,45.1%,0.8%
600551,时代出版,2026-07-03,6.78,0.99,33.9,31.5,13.0%,1.2%
002951,金时科技,2026-07-03,13.71,1.0,20.9,8.6,19.2%,2.1%
001300,三柏硕,2026-07-03,11.59,1.04,31.1,23.2,37.6%,1.1%
000612,焦作万方,2026-07-03,10.75,1.05,21.2,19.9,13.0%,1.7%
000878,云南铜业,2026-07-03,16.17,1.05,34.9,14.2,13.2%,2.2%
600268,国电南自,2026-07-03,11.73,1.06,33.0,21.8,19.1%,2.0%
601997,贵阳银行,2026-07-03,5.22,1.07,33.3,20.8,11.0%,-0.2%
603889,新澳股份,2026-07-03,5.39,1.07,34.4,21.3,33.2%,2.5%
600232,金鹰股份,2026-07-03,6.45,1.08,24.6,16.4,21.6%,2.4%
600373,中文传媒,2026-07-03,6.73,1.09,31.6,20.0,16.7%,0.2%
002140,东华科技,2026-07-03,9.29,1.09,32.7,16.1,17.9%,1.8%
601886,江河集团,2026-07-03,8.06,1.12,19.6,13.4,13.0%,1.4%
601777,千里科技,2026-07-03,8.15,1.12,24.7,13.0,27.3%,4.1%
