代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
002194,武汉凡谷,2026-03-27,10.36,0.43,16.9,19.0,23.0%,1.5%
002062,宏润建设,2026-03-27,7.36,0.46,33.9,24.7,24.7%,1.4%
603528,多伦科技,2026-03-27,8.06,0.47,32.9,27.1,20.0%,1.0%
603712,七一二,2026-03-27,16.33,0.52,29.7,20.2,22.0%,1.4%
002918,蒙娜丽莎,2026-03-27,11.37,0.55,19.7,22.0,31.7%,1.8%
601177,杭齿前进,2026-03-27,14.35,0.55,31.0,19.9,15.6%,0.4%
000686,东北证券,2026-03-27,8.05,0.55,31.3,23.3,11.8%,0.6%
600218,全柴动力,2026-03-27,9.48,0.55,34.4,17.5,12.1%,1.0%
601108,财通证券,2026-03-27,7.67,0.56,24.5,16.7,12.7%,0.9%
603035,常熟汽饰,2026-03-27,13.68,0.56,26.4,15.7,11.8%,1.2%
002111,威海广泰,2026-03-27,9.48,0.56,28.0,19.6,11.9%,1.2%
600843,上工申贝,2026-03-27,9.39,0.58,27.8,14.3,19.5%,1.4%
002331,皖通科技,2026-03-27,7.99,0.58,31.7,24.1,14.7%,1.0%
002892,科力尔,2026-03-27,10.95,0.59,24.0,13.3,14.6%,0.5%
002676,顺威股份,2026-03-27,6.52,0.59,30.3,20.8,20.7%,0.3%
002373,千方科技,2026-03-27,9.59,0.61,26.4,21.2,22.1%,0.6%
000417,合百集团,2026-03-25,6.8,0.61,33.5,26.9,16.9%,0.7%
002347,泰尔股份,2026-03-27,8.22,0.61,33.9,21.1,21.5%,1.5%
600635,大众公用,2026-03-27,5.86,0.62,20.8,24.5,10.1%,1.4%
000948,南天信息,2026-03-27,15.2,0.62,30.3,23.9,12.7%,0.9%
002406,远东传动,2026-03-27,7.06,0.63,27.2,17.5,13.1%,1.2%
603238,诺邦股份,2026-03-25,15.85,0.63,29.7,26.1,13.9%,1.7%
605337,李子园,2026-03-25,10.75,0.63,29.7,25.2,12.4%,1.5%
000572,海马汽车,2026-03-25,6.33,0.63,31.0,44.6,12.9%,0.8%
600271,航天信息,2026-03-27,8.53,0.64,26.1,17.2,20.5%,0.8%
000505,京粮控股,2026-03-25,6.71,0.64,27.3,21.1,11.3%,1.8%
603901,永创智能,2026-03-27,11.42,0.65,24.2,12.3,23.1%,0.7%
600197,伊力特,2026-03-27,11.95,0.65,26.5,17.4,12.5%,1.0%
603313,梦百合,2026-03-25,8.26,0.65,28.6,26.2,12.8%,2.4%
603085,天成自控,2026-03-27,10.51,0.65,30.7,27.6,10.5%,0.9%
600765,中航重机,2026-03-27,16.37,0.65,31.8,17.2,17.0%,0.8%
600588,用友网络,2026-03-27,11.79,0.66,24.1,14.1,19.7%,1.4%
603915,国茂股份,2026-03-27,14.52,0.66,25.8,14.5,17.8%,1.3%
002268,电科网安,2026-03-27,16.85,0.67,24.0,14.2,17.0%,1.5%
001322,箭牌家居,2026-03-27,7.49,0.67,26.5,15.9,16.9%,0.7%
600877,电科芯片,2026-03-27,15.82,0.67,28.0,20.8,20.3%,1.4%
002492,恒基达鑫,2026-03-27,7.43,0.68,32.8,26.4,14.2%,-0.3%
002023,海特高新,2026-03-27,10.27,0.68,33.0,21.5,22.5%,1.7%
002590,万安科技,2026-03-27,12.24,0.69,25.1,20.1,18.0%,1.1%
002410,广联达,2026-03-27,11.25,0.69,25.6,16.9,17.9%,1.0%
002037,保利联合,2026-03-25,8.02,0.69,29.7,21.4,15.4%,1.4%
002254,泰和新材,2026-03-27,10.67,0.69,31.5,18.2,13.2%,1.6%
002103,广博股份,2026-03-25,8.35,0.7,33.6,26.1,12.7%,1.8%
603015,弘讯科技,2026-03-27,12.32,0.71,28.8,16.7,16.6%,1.8%
600595,中孚实业,2026-03-25,7.1,0.73,16.4,12.0,21.1%,0.1%
600728,佳都科技,2026-03-27,5.62,0.73,22.7,16.8,17.5%,0.5%
