代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
002403,爱仕达,2026-03-09,11.25,0.63,32.1,24.1,10.2%,-0.9%
605136,丽人丽妆,2026-03-09,10.52,0.64,26.8,19.8,10.5%,-0.4%
603633,徕木股份,2026-03-09,8.57,0.66,28.2,26.2,13.3%,-0.7%
605388,均瑶健康,2026-03-09,6.67,0.66,28.8,30.4,10.0%,-0.6%
002187,广百股份,2026-03-09,6.9,0.72,31.6,31.0,13.8%,-0.6%
002752,昇兴股份,2026-03-09,6.33,0.74,24.7,25.9,10.4%,-0.9%
600476,湘邮科技,2026-03-09,13.09,0.75,33.1,28.6,17.6%,0.9%
000678,襄阳轴承,2026-03-09,12.65,0.76,24.2,30.6,13.5%,-1.4%
000566,海南海药,2026-03-09,5.74,0.76,27.0,19.7,20.9%,-0.5%
603536,惠发食品,2026-03-09,10.21,0.79,27.5,24.0,12.4%,-1.3%
603359,东珠生态,2026-03-09,6.69,0.82,27.5,26.3,16.2%,-1.9%
002373,千方科技,2026-03-09,10.72,0.84,20.6,17.4,10.5%,-0.4%
002765,蓝黛科技,2026-03-09,10.99,0.84,20.9,22.8,10.3%,-0.5%
000955,欣龙控股,2026-03-09,5.42,0.84,22.2,25.9,10.6%,-1.8%
002038,双鹭药业,2026-03-09,6.2,0.85,29.7,28.2,17.4%,-1.0%
000572,海马汽车,2026-03-09,6.43,0.87,23.9,22.0,20.2%,-1.7%
003016,欣贺股份,2026-03-09,8.41,0.88,23.8,22.3,12.6%,-1.3%
600996,贵广网络,2026-03-09,8.13,0.9,28.6,25.1,19.3%,0.0%
603567,珍宝岛,2026-03-09,7.66,0.98,26.9,20.6,17.0%,-0.1%
603528,多伦科技,2026-03-09,8.91,0.99,20.5,18.9,12.5%,-0.4%
603815,交建股份,2026-03-09,6.66,1.03,25.3,27.2,17.5%,-1.5%
