日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-02-06,603937,丽岛新材,12.99,1.17%,2.16%,12,91.7%,7.37%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,603578,三星新材,16.22,6.36%,4.83%,12,9.1%,-4.54%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-06,600319,亚星化学,8.17,2.12%,1.57%,9,87.5%,6.22%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,002890,弘宇股份,17.29,1.41%,1.53%,8,87.5%,5.67%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,000600,建投能源,8.53,2.16%,2.35%,6,83.3%,5.46%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,603725,天安新材,10.61,3.01%,3.69%,13,83.3%,4.33%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,002412,汉森制药,7.59,10.0%,15.94%,9,83.3%,5.96%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-01-23,688119,中钢洛耐,7.52,6.67%,6.71%,6,83.3%,6.73%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,603166,福达股份,16.61,2.91%,1.89%,12,83.3%,16.32%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,002836,新宏泽,15.3,2.2%,2.14%,19,83.3%,7.98%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,002806,华锋股份,14.33,3.99%,13.81%,11,81.8%,7.01%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-04,002686,亿利达,6.95,0.58%,2.01%,11,81.8%,6.57%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,002811,郑中设计,14.71,2.8%,3.45%,11,81.8%,4.69%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,600851,海欣股份,8.06,3.2%,2.19%,11,80.0%,4.38%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,603618,杭电股份,13.71,10.03%,18.02%,7,80.0%,2.18%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-04,000541,佛山照明,6.37,1.92%,1.18%,5,80.0%,2.54%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-04,000404,长虹华意,7.07,1.58%,1.54%,5,80.0%,8.31%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,603959,百利科技,6.41,9.95%,9.86%,10,77.8%,6.36%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,002345,潮宏基,13.56,9.98%,4.7%,10,77.8%,15.32%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-04,600351,亚宝药业,6.86,1.33%,1.88%,8,75.0%,6.35%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,002772,众兴菌业,18.39,9.99%,6.05%,12,75.0%,4.57%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-04,600251,冠农股份,10.61,1.24%,1.64%,8,75.0%,5.31%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,600063,皖维高新,7.3,9.94%,5.27%,8,75.0%,1.77%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,002339,积成电子,12.76,10.0%,13.69%,10,75.0%,5.35%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,000554,泰山石油,8.26,5.22%,13.56%,5,75.0%,4.24%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,603238,诺邦股份,18.92,1.94%,1.63%,8,75.0%,1.92%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,600352,浙江龙盛,14.95,6.18%,4.38%,5,75.0%,1.44%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,002083,孚日股份,12.02,4.7%,7.44%,13,72.7%,4.11%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,603010,万盛股份,12.08,3.42%,3.59%,14,72.7%,1.26%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-04,002317,众生药业,19.29,0.68%,3.42%,14,71.4%,11.38%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,000952,广济药业,7.94,1.02%,3.62%,7,71.4%,2.99%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,001330,博纳影业,10.31,2.28%,13.36%,9,71.4%,4.45%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,001202,炬申股份,18.16,1.0%,4.53%,15,71.4%,3.80%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-06,002629,仁智股份,6.28,3.8%,6.06%,20,70.0%,9.28%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-02-06,002798,帝欧水华,6.91,3.6%,4.11%,11,70.0%,1.75%,⭐⭐⭐,概率占优，分批建仓
2026-02-06,002763,汇洁股份,8.32,1.22%,2.4%,13,70.0%,4.35%,⭐⭐⭐,概率占优，分批建仓
2026-02-06,002960,青鸟消防,11.43,4.19%,3.43%,11,70.0%,1.67%,⭐⭐⭐,概率占优，分批建仓
2026-02-06,000957,中通客车,12.03,3.26%,5.95%,12,70.0%,4.24%,⭐⭐⭐,概率占优，分批建仓
2026-02-06,600977,中国电影,18.39,4.91%,6.58%,3,66.7%,22.80%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-02-06,003003,天元股份,14.44,3.44%,23.63%,10,66.7%,2.13%,⭐⭐⭐,概率占优，分批建仓
2026-02-06,002064,华峰化学,11.99,4.81%,1.3%,6,66.7%,4.79%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,600249,两面针,5.99,1.35%,1.83%,6,66.7%,5.38%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-02-06,600987,航民股份,8.29,9.95%,5.63%,4,66.7%,0.15%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,002861,瀛通通讯,19.89,3.06%,5.69%,12,66.7%,4.67%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,002267,陕天然气,7.92,1.67%,0.93%,3,66.7%,6.74%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-02-06,603876,鼎胜新材,17.77,10.03%,4.32%,3,66.7%,-0.09%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,601512,中新集团,9.8,1.55%,0.45%,13,66.7%,0.66%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,002034,旺能环境,17.36,1.46%,1.76%,9,66.7%,4.78%,⭐⭐⭐,概率占优，分批建仓
