日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-02-02,603010,万盛股份,12.15,0.16%,6.66%,13,72.7%,1.26%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-04,605001,威奥股份,8.26,1.23%,1.52%,12,72.7%,7.65%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,001330,博纳影业,10.28,7.08%,15.01%,8,71.4%,4.45%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,603126,中材节能,7.72,5.03%,6.73%,7,71.4%,1.36%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-04,002565,顺灏股份,17.87,5.55%,25.74%,10,70.0%,22.87%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-02-04,002763,汇洁股份,8.17,1.49%,2.04%,11,70.0%,4.35%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,600638,新黄浦,7.4,1.09%,1.42%,16,68.8%,3.29%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,002826,易明医药,19.2,2.35%,3.77%,12,66.7%,4.60%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,002563,森马服饰,5.59,0.9%,2.6%,3,66.7%,-1.83%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,002674,兴业科技,14.31,2.36%,3.6%,15,64.3%,5.43%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-02-02,603112,华翔股份,16.98,0.65%,1.75%,14,64.3%,2.78%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,603668,天马科技,15.8,1.8%,3.98%,12,63.6%,1.87%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,600828,茂业商业,7.24,10.03%,8.26%,12,63.6%,9.80%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-02-04,600151,航天机电,16.37,3.94%,10.67%,9,62.5%,8.27%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-02-04,600966,博汇纸业,7.72,5.46%,1.85%,8,62.5%,4.17%,⭐⭐⭐,概率占优，分批建仓
2026-01-23,688505,复旦张江,8.93,2.64%,1.07%,8,62.5%,7.35%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-02-04,003003,天元股份,14.06,1.01%,4.98%,9,62.5%,2.06%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,002033,丽江股份,9.86,1.23%,6.08%,8,62.5%,1.67%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,603106,恒银科技,10.48,0.67%,1.88%,14,61.5%,1.30%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,002350,北京科锐,9.76,4.27%,7.83%,14,61.5%,1.58%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,603697,有友食品,13.54,9.99%,4.76%,10,60.0%,9.84%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,000532,华金资本,16.03,0.69%,1.97%,16,60.0%,3.46%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,002067,景兴纸业,5.49,0.92%,3.22%,11,60.0%,4.74%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,002204,大连重工,7.7,4.62%,4.67%,6,60.0%,1.70%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,605369,拱东医疗,19.46,2.91%,2.03%,6,60.0%,-0.79%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,600513,联环药业,19.02,2.92%,4.93%,6,60.0%,12.73%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,002930,宏川智慧,12.04,2.29%,6.11%,12,58.3%,2.81%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,002972,科安达,12.43,1.47%,2.92%,8,57.1%,-3.66%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,605500,森林包装,9.03,1.01%,0.65%,9,57.1%,-0.89%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,600379,宝光股份,12.81,0.95%,2.45%,7,57.1%,2.85%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,600397,江钨装备,10.24,2.2%,6.89%,7,57.1%,-0.35%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,002856,美芝股份,15.31,1.59%,5.28%,9,57.1%,5.60%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,603808,歌力思,10.88,2.54%,6.18%,9,55.6%,-4.48%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,002363,隆基机械,9.33,0.97%,2.6%,9,55.6%,1.19%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,600215,派斯林,7.81,0.64%,2.36%,11,54.5%,-1.01%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,002719,麦趣尔,9.14,4.1%,11.8%,11,54.5%,3.44%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,605055,迎丰股份,9.4,1.62%,1.16%,12,54.5%,1.40%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,605007,五洲特纸,13.98,2.12%,1.74%,11,54.5%,4.01%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,002193,如意集团,6.4,4.58%,11.43%,11,54.5%,-2.52%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,002678,珠江钢琴,5.79,10.08%,1.77%,15,53.3%,0.39%,⭐⭐⭐,概率占优，分批建仓
2026-02-04,603028,赛福天,9.94,1.43%,3.4%,12,50.0%,2.18%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,600072,中船科技,11.73,2.18%,4.3%,6,50.0%,0.81%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002923,润都股份,15.26,6.05%,11.06%,8,50.0%,0.72%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,600995,南网储能,14.0,3.32%,1.84%,2,50.0%,-0.60%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002575,群兴玩具,7.92,10.0%,18.62%,10,50.0%,2.33%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002560,通达股份,10.68,3.89%,12.1%,16,50.0%,1.01%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002235,安妮股份,10.04,0.4%,3.81%,11,50.0%,7.75%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002453,华软科技,5.93,0.68%,1.82%,9,50.0%,4.49%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,000821,京山轻机,13.56,5.03%,8.09%,9,50.0%,7.15%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002291,遥望科技,8.14,10.0%,25.48%,8,50.0%,4.98%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002196,方正电机,17.28,1.05%,15.31%,16,50.0%,1.76%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,000859,国风新材,10.17,0.3%,4.38%,16,50.0%,6.37%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,600279,重庆港,5.44,1.68%,1.03%,12,50.0%,3.26%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,001324,长青科技,19.1,1.27%,6.13%,12,50.0%,0.23%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,603070,万控智造,14.63,1.6%,1.74%,8,50.0%,0.38%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002520,日发精机,5.95,1.02%,1.68%,16,50.0%,2.48%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,000551,创元科技,15.48,3.75%,7.2%,11,50.0%,-0.59%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,000599,青岛双星,7.33,5.16%,8.69%,12,50.0%,-1.33%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,603778,国晟科技,16.18,9.99%,13.45%,7,50.0%,-5.00%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,000922,佳电股份,14.74,3.37%,2.65%,10,50.0%,-3.37%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002593,日上集团,6.1,1.5%,6.32%,20,47.4%,-1.84%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002347,泰尔股份,9.86,0.41%,6.04%,20,47.1%,-1.55%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,600721,百花医药,9.22,0.88%,2.4%,16,46.7%,0.58%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002723,小崧股份,8.92,5.19%,8.98%,13,46.2%,-1.44%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002452,长高电新,10.2,1.69%,7.13%,13,46.2%,1.84%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002480,新筑股份,6.27,3.29%,3.98%,9,44.4%,0.82%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002491,通鼎互联,8.64,10.06%,18.21%,9,42.9%,1.91%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,600084,中信尼雅,7.85,7.83%,5.66%,7,42.9%,0.55%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,000703,恒逸石化,11.83,2.34%,0.8%,7,42.9%,2.65%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-23,688609,九联科技,10.16,3.99%,5.1%,7,42.9%,5.76%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002302,西部建设,6.12,2.51%,1.37%,7,42.9%,4.78%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002337,赛象科技,6.75,0.6%,2.61%,14,42.9%,-0.62%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002691,冀凯股份,8.72,1.16%,2.94%,16,42.9%,-0.27%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002215,诺 普 信,11.49,3.42%,3.39%,7,42.9%,4.59%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,603759,海天股份,12.53,1.87%,4.26%,12,41.7%,-2.74%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002355,兴民智通,6.18,3.69%,5.78%,13,41.7%,-1.20%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,003016,欣贺股份,9.06,1.0%,1.26%,18,41.2%,1.64%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,600179,安通控股,5.1,0.79%,1.7%,5,40.0%,6.98%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002169,智光电气,13.47,3.62%,12.05%,5,40.0%,4.82%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-23,688472,阿特斯,18.05,11.56%,14.19%,5,40.0%,-0.81%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002451,摩恩电气,10.43,1.76%,7.5%,10,40.0%,-2.59%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002973,侨银股份,14.65,3.31%,2.92%,13,38.5%,-0.68%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002883,中设股份,10.41,1.17%,8.28%,16,37.5%,-2.30%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002441,众业达,9.93,1.64%,3.78%,8,37.5%,0.81%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002963,豪尔赛,15.56,1.83%,3.69%,16,37.5%,0.02%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002644,佛慈制药,9.21,4.66%,5.08%,10,37.5%,0.95%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-23,688373,盟科药业,6.56,1.86%,1.53%,8,37.5%,-0.53%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,600860,京城股份,13.46,9.97%,4.83%,8,37.5%,-4.47%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002099,海翔药业,6.81,7.58%,6.31%,9,37.5%,-1.01%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,600550,保变电气,15.57,10.04%,6.48%,9,37.5%,-0.10%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-23,688189,南新制药,8.93,2.29%,1.86%,11,36.4%,2.63%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,600678,四川金顶,13.55,2.89%,19.49%,11,36.4%,-7.41%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002631,德尔未来,5.88,2.8%,2.26%,15,35.7%,-4.45%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,601116,三江购物,17.58,5.97%,11.82%,17,35.3%,-0.46%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,600661,昂立教育,10.92,2.15%,4.94%,9,33.3%,-9.39%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,600232,金鹰股份,9.32,10.04%,4.3%,5,33.3%,-3.90%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002519,银河电子,8.44,2.55%,13.41%,10,33.3%,4.36%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-23,688575,亚辉龙,15.01,1.15%,1.06%,7,33.3%,-3.24%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002800,天顺股份,17.89,5.92%,6.71%,6,33.3%,-5.77%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,600336,澳柯玛,7.88,1.42%,3.16%,9,33.3%,-4.33%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002651,利君股份,10.97,0.27%,1.82%,13,33.3%,4.27%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,600172,黄河旋风,7.21,10.08%,17.99%,10,33.3%,0.02%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,600330,天通股份,14.0,3.24%,18.15%,4,33.3%,3.59%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,000712,锦龙股份,12.23,3.38%,4.83%,16,31.2%,3.22%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,603291,联合水务,12.71,7.26%,16.57%,10,30.0%,-6.05%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002606,大连电瓷,11.8,9.97%,12.05%,10,30.0%,-1.14%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,000798,中水渔业,11.52,2.04%,11.67%,12,30.0%,-1.36%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,000695,滨海能源,12.49,2.8%,4.69%,10,30.0%,-2.96%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002209,达 意 隆,15.88,0.32%,2.61%,10,30.0%,-1.96%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002780,三夫户外,16.41,9.99%,25.33%,11,30.0%,-2.72%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,000617,中油资本,8.96,0.79%,0.38%,10,30.0%,6.99%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,000886,海南高速,6.6,3.77%,6.55%,7,28.6%,-1.22%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,600686,金龙汽车,17.22,3.99%,5.44%,7,28.6%,-2.38%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,603158,腾龙股份,10.82,4.44%,8.78%,17,28.6%,-4.29%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,600579,中化装备,9.17,3.03%,2.95%,13,27.3%,-8.13%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002682,龙洲股份,7.19,1.84%,6.29%,12,27.3%,0.46%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,600218,全柴动力,10.96,3.2%,4.92%,8,25.0%,-0.84%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002406,远东传动,8.18,1.61%,2.76%,12,25.0%,-3.58%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,000582,北部湾港,9.87,1.44%,1.98%,8,25.0%,-1.46%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-23,688588,凌志软件,15.53,1.64%,1.82%,4,25.0%,-5.00%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-23,688238,和元生物,7.74,2.25%,1.8%,4,25.0%,-1.53%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002041,登海种业,11.64,3.1%,14.29%,13,23.1%,-4.05%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002771,真视通,15.43,1.05%,6.52%,13,23.1%,-3.40%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,605377,华旺科技,8.87,1.14%,1.15%,10,22.2%,-5.46%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,603889,新澳股份,9.06,0.78%,0.77%,5,20.0%,-2.47%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002583,海能达,11.02,0.82%,1.92%,5,20.0%,-13.32%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,002201,九鼎新材,14.42,1.69%,13.83%,11,20.0%,-4.06%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,600586,金晶科技,6.94,8.44%,16.54%,13,18.2%,-2.92%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-23,688046,药康生物,18.7,1.69%,0.73%,6,16.7%,-7.41%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,603208,江山欧派,15.12,1.89%,3.47%,8,14.3%,-4.70%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002582,好想你,13.44,5.0%,17.68%,6,100.0%,15.39%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,002546,新联电子,9.03,4.88%,14.1%,5,100.0%,13.42%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,603880,南卫股份,6.63,5.41%,6.61%,3,100.0%,10.47%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,003036,泰坦股份,16.17,1.19%,1.91%,8,100.0%,13.70%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-04,603098,森特股份,15.9,1.21%,1.35%,4,0.0%,-4.21%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-02,002533,金杯电工,13.93,5.37%,7.64%,4,0.0%,-7.87%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,600960,渤海汽车,5.22,1.75%,1.3%,6,0.0%,-11.96%,⭐⭐⭐,历史表现平平，轻仓试错
2026-02-04,600765,中航重机,19.75,1.96%,3.25%,3,0.0%,-7.22%,⭐⭐⭐,历史表现平平，轻仓试错
