日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-02-02,002300,太阳电缆,8.7,2.59%,5.99%,11,90.9%,11.25%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,603058,永吉股份,11.07,1.1%,3.32%,11,90.0%,21.78%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,600192,长城电工,9.62,3.0%,4.64%,9,88.9%,14.82%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,605066,天正电气,8.41,3.57%,8.25%,9,88.9%,5.15%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-01-23,688119,中钢洛耐,7.52,6.67%,6.71%,6,83.3%,6.73%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,601179,中国西电,15.6,7.59%,10.87%,6,83.3%,17.89%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-04,600135,乐凯胶片,9.9,0.51%,3.21%,7,83.3%,9.57%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,002188,中天服务,6.97,2.8%,14.09%,7,80.0%,1.48%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-04,000967,盈峰环境,7.27,3.27%,1.06%,5,80.0%,4.60%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-04,603022,新通联,11.49,1.59%,2.97%,5,75.0%,1.63%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,002358,森源电气,7.54,10.07%,10.23%,8,75.0%,7.10%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,002404,嘉欣丝绸,7.27,0.83%,4.19%,8,75.0%,2.78%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-04,002023,海特高新,12.08,0.83%,3.8%,5,75.0%,4.40%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-04,002297,博云新材,13.07,6.69%,19.29%,13,75.0%,2.18%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,002339,积成电子,11.99,10.0%,5.66%,8,75.0%,5.35%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,002772,众兴菌业,17.1,4.2%,8.43%,11,75.0%,4.57%,⭐⭐⭐,历史强势基因，重仓买入
