日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-02-02,002300,太阳电缆,8.7,2.59%,5.99%,11,90.9%,11.25%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,603058,永吉股份,11.07,1.1%,3.32%,11,90.0%,21.78%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,600192,长城电工,9.62,3.0%,4.64%,9,88.9%,14.82%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,605066,天正电气,8.41,3.57%,8.25%,9,88.9%,5.15%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-01-23,688119,中钢洛耐,7.52,6.67%,6.71%,6,83.3%,6.73%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,601179,中国西电,15.6,7.59%,10.87%,6,83.3%,17.89%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,002188,中天服务,6.97,2.8%,14.09%,7,80.0%,1.48%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,002358,森源电气,7.54,10.07%,10.23%,8,75.0%,7.10%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,002404,嘉欣丝绸,7.27,0.83%,4.19%,8,75.0%,2.78%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,002339,积成电子,11.99,10.0%,5.66%,8,75.0%,5.35%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,002772,众兴菌业,17.1,4.2%,8.43%,11,75.0%,4.57%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,603010,万盛股份,12.15,0.16%,6.66%,13,72.7%,1.26%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,603126,中材节能,7.72,5.03%,6.73%,7,71.4%,1.36%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,001330,博纳影业,10.28,7.08%,15.01%,8,71.4%,4.45%,⭐⭐⭐,历史强势基因，重仓买入
2026-02-02,603331,百达精工,16.15,3.33%,25.22%,9,66.7%,2.80%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,002826,易明医药,19.2,2.35%,3.77%,12,66.7%,4.60%,⭐⭐⭐,概率占优，分批建仓
2026-02-02,002563,森马服饰,5.59,0.9%,2.6%,3,66.7%,-1.83%,⭐⭐⭐,概率占优，分批建仓
