代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
002852,道道全,2026-05-08,9.08,0.36,27.4,31.8,14.3%,0.9%
603282,亚光股份,2026-05-08,18.76,0.45,20.6,24.9,12.6%,2.0%
600219,南山铝业,2026-05-08,5.56,0.75,33.7,28.2,16.7%,0.7%
002649,博彦科技,2026-05-08,11.04,0.86,33.1,27.2,11.4%,2.3%
000917,电广传媒,2026-05-08,8.95,0.87,13.0,18.1,12.9%,0.9%
002614,奥佳华,2026-05-08,5.77,0.88,20.0,29.8,12.2%,1.9%
002284,亚太股份,2026-05-08,13.42,0.94,31.0,24.9,10.6%,3.2%
002093,国脉科技,2026-05-08,8.78,0.97,30.3,23.9,16.3%,3.0%
600819,耀皮玻璃,2026-05-08,6.82,0.98,13.7,22.8,11.9%,-0.2%
000576,甘化科工,2026-05-08,9.02,1.02,26.2,19.1,10.4%,2.4%
