代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
603169,兰石重装,2026-04-30,8.43,0.49,16.6,21.7,22.7%,1.1%
600966,博汇纸业,2026-04-30,6.35,0.56,26.1,34.1,14.3%,1.6%
600095,湘财股份,2026-04-30,8.88,0.57,20.4,37.3,12.0%,0.3%
000798,中水渔业,2026-04-30,9.31,0.6,13.0,18.8,15.3%,0.5%
600843,上工申贝,2026-04-30,8.72,0.61,28.4,28.7,16.8%,2.4%
002383,合众思壮,2026-04-30,9.31,0.65,26.3,18.3,12.9%,1.3%
000930,中粮科技,2026-04-30,6.08,0.66,30.1,21.9,10.9%,0.8%
002101,广东鸿图,2026-04-30,10.01,0.68,30.2,20.1,14.5%,0.3%
603230,内蒙新华,2026-04-30,10.76,0.69,25.0,24.6,13.0%,0.5%
600860,京城股份,2026-04-30,10.79,0.73,30.3,17.3,17.8%,0.3%
600650,锦江在线,2026-04-30,12.49,0.73,34.4,32.5,10.4%,0.4%
601212,白银有色,2026-04-30,7.63,0.78,20.2,26.3,21.1%,-0.4%
002670,国盛证券,2026-04-30,12.64,0.84,34.0,14.5,18.4%,0.3%
000859,国风新材,2026-04-30,9.04,0.87,14.4,14.5,13.2%,1.6%
002094,青岛金王,2026-04-30,5.96,0.95,31.6,20.1,17.7%,0.3%
600765,中航重机,2026-04-30,15.95,0.98,28.4,23.3,12.4%,2.0%
000506,招金黄金,2026-04-30,16.0,1.07,22.4,21.5,17.3%,1.1%
601615,明阳智能,2026-04-30,15.84,1.08,23.1,30.4,24.8%,4.1%
000735,罗 牛 山,2026-04-30,6.58,1.11,31.6,25.2,10.3%,2.6%
