代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
000821,京山轻机,2026-05-22,9.86,0.44,33.5,27.3,21.5%,1.9%
603187,海容冷链,2026-05-22,13.32,0.55,19.7,15.5,13.2%,1.2%
603639,海利尔,2026-05-22,11.42,0.57,31.1,19.3,15.7%,1.5%
000425,徐工机械,2026-05-22,9.65,0.61,22.7,24.2,10.4%,0.8%
600711,盛屯矿业,2026-05-22,12.45,0.67,20.9,15.7,11.3%,3.8%
600352,浙江龙盛,2026-05-22,11.63,0.73,19.4,12.3,17.5%,1.6%
002483,润邦股份,2026-05-22,6.04,0.75,33.3,16.5,16.3%,2.0%
600848,上海临港,2026-05-22,8.71,0.82,31.3,17.2,12.9%,0.0%
000157,中联重科,2026-05-22,7.3,0.84,12.5,11.5,17.2%,0.4%
600894,广日股份,2026-05-22,8.37,0.9,28.1,9.8,13.5%,2.7%
000506,招金黄金,2026-05-22,14.2,1.03,17.8,15.3,22.3%,1.8%
601212,白银有色,2026-05-22,6.66,1.03,21.0,11.4,26.1%,4.7%
000878,云南铜业,2026-05-22,18.06,1.07,23.9,18.9,12.0%,4.4%
