代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
601949,中国出版,2026-05-06,5.87,0.66,8.6,21.3,12.1%,0.0%
000798,中水渔业,2026-05-06,9.33,0.75,18.1,19.5,14.9%,0.2%
605577,龙版传媒,2026-05-06,11.78,0.75,33.0,33.9,10.8%,0.7%
002019,亿帆医药,2026-05-06,11.23,0.77,15.8,11.4,13.1%,0.4%
600966,博汇纸业,2026-05-06,6.33,0.78,23.9,34.4,14.3%,-0.3%
601615,明阳智能,2026-05-06,15.84,0.8,30.0,36.0,23.9%,0.0%
603103,横店影视,2026-05-06,20.94,0.81,27.9,15.7,18.7%,1.4%
002623,亚玛顿,2026-05-06,21.4,0.82,28.2,42.9,14.0%,1.0%
601611,中国核建,2026-05-06,13.43,0.83,31.0,28.9,12.6%,0.7%
002121,科陆电子,2026-05-06,7.03,0.84,27.4,21.9,20.1%,1.2%
002546,新联电子,2026-05-06,8.34,0.9,29.9,21.6,14.3%,1.5%
600571,信雅达,2026-05-06,12.97,0.97,34.2,29.1,10.8%,2.3%
002892,科力尔,2026-05-06,10.45,1.01,23.5,27.7,10.6%,0.6%
002123,梦网科技,2026-05-06,9.7,1.1,31.4,31.8,10.4%,2.3%
002537,海联金汇,2026-05-06,7.42,1.14,32.1,26.6,12.7%,1.9%
600967,内蒙一机,2026-05-06,14.22,1.14,32.7,21.6,10.3%,0.8%
