code,name,advice,score,7日预期,14日预期,20日预期
600352,浙江龙盛,重点关注/一击必中,90,等待验证,等待验证,等待验证
600987,航民股份,重点关注/一击必中,90,等待验证,等待验证,等待验证
002185,华天科技,重点关注/一击必中,90,等待验证,等待验证,等待验证
600268,国电南自,重点关注/一击必中,90,等待验证,等待验证,等待验证
002144,宏达高科,重点关注/一击必中,90,等待验证,等待验证,等待验证
603056,德邦股份,重点关注/一击必中,90,等待验证,等待验证,等待验证
600230,沧州大化,重点关注/一击必中,90,等待验证,等待验证,等待验证
002054,德美化工,重点关注/一击必中,90,等待验证,等待验证,等待验证
601600,中国铝业,重点关注/一击必中,70,等待验证,等待验证,等待验证
603916,苏博特,轻仓试错,60,等待验证,等待验证,等待验证
603212,赛伍技术,轻仓试错,60,等待验证,等待验证,等待验证
002634,棒杰股份,轻仓试错,60,等待验证,等待验证,等待验证
000599,青岛双星,轻仓试错,60,等待验证,等待验证,等待验证
002815,崇达技术,轻仓试错,60,等待验证,等待验证,等待验证
002169,智光电气,轻仓试错,60,等待验证,等待验证,等待验证
002724,海洋王,轻仓试错,60,等待验证,等待验证,等待验证
002088,鲁阳节能,轻仓试错,50,等待验证,等待验证,等待验证
002637,赞宇科技,轻仓试错,50,等待验证,等待验证,等待验证
603038,华立股份,轻仓试错,50,等待验证,等待验证,等待验证
601163,三角轮胎,轻仓试错,50,等待验证,等待验证,等待验证
600671,天目药业,轻仓试错,50,等待验证,等待验证,等待验证
000159,国际实业,轻仓试错,50,等待验证,等待验证,等待验证
601968,宝钢包装,轻仓试错,50,等待验证,等待验证,等待验证
600173,卧龙新能,轻仓试错,50,等待验证,等待验证,等待验证
000860,顺鑫农业,轻仓试错,50,等待验证,等待验证,等待验证
000045,深纺织Ａ,观察,40,等待验证,等待验证,等待验证
002446,盛路通信,观察,40,等待验证,等待验证,等待验证
600539,狮头股份,观察,40,等待验证,等待验证,等待验证
000592,平潭发展,观察,40,等待验证,等待验证,等待验证
002429,兆驰股份,观察,20,等待验证,等待验证,等待验证
600559,老白干酒,观察,20,等待验证,等待验证,等待验证
600197,伊力特,观察,20,等待验证,等待验证,等待验证
600302,标准股份,观察,20,等待验证,等待验证,等待验证
000995,皇台酒业,观察,20,等待验证,等待验证,等待验证
601117,中国化学,观察,20,等待验证,等待验证,等待验证
600955,维远股份,观察,20,等待验证,等待验证,等待验证
600678,四川金顶,观察,0,等待验证,等待验证,等待验证
603138,海量数据,观察,0,等待验证,等待验证,等待验证
