code,name,advice,score,7日预期,14日预期,20日预期
600059,古越龙山,重点关注/一击必中,90,等待验证,等待验证,等待验证
600371,万向德农,重点关注/一击必中,90,等待验证,等待验证,等待验证
002780,三夫户外,重点关注/一击必中,90,等待验证,等待验证,等待验证
002724,海洋王,重点关注/一击必中,90,等待验证,等待验证,等待验证
603056,德邦股份,重点关注/一击必中,90,等待验证,等待验证,等待验证
000599,青岛双星,重点关注/一击必中,90,等待验证,等待验证,等待验证
600678,四川金顶,重点关注/一击必中,70,等待验证,等待验证,等待验证
600559,老白干酒,重点关注/一击必中,70,等待验证,等待验证,等待验证
000860,顺鑫农业,重点关注/一击必中,70,等待验证,等待验证,等待验证
002646,天佑德酒,重点关注/一击必中,70,等待验证,等待验证,等待验证
600197,伊力特,重点关注/一击必中,70,等待验证,等待验证,等待验证
600084,中信尼雅,轻仓试错,60,等待验证,等待验证,等待验证
601600,中国铝业,轻仓试错,60,等待验证,等待验证,等待验证
600352,浙江龙盛,轻仓试错,60,等待验证,等待验证,等待验证
002144,宏达高科,轻仓试错,60,等待验证,等待验证,等待验证
600732,爱旭股份,轻仓试错,50,等待验证,等待验证,等待验证
002412,汉森制药,轻仓试错,50,等待验证,等待验证,等待验证
600403,大有能源,轻仓试错,50,等待验证,等待验证,等待验证
600199,金种子酒,观察,40,等待验证,等待验证,等待验证
601133,柏诚股份,观察,30,等待验证,等待验证,等待验证
600382,广东明珠,观察,30,等待验证,等待验证,等待验证
600273,嘉化能源,观察,20,等待验证,等待验证,等待验证
603958,哈森股份,观察,20,等待验证,等待验证,等待验证
603599,广信股份,观察,20,等待验证,等待验证,等待验证
002806,华锋股份,观察,20,等待验证,等待验证,等待验证
603429,集友股份,观察,0,等待验证,等待验证,等待验证
