code,name,advice,score,7日预期,14日预期,20日预期
601118,海南橡胶,重点关注/一击必中,90,等待验证,等待验证,等待验证
002185,华天科技,重点关注/一击必中,90,等待验证,等待验证,等待验证
600059,古越龙山,重点关注/一击必中,90,等待验证,等待验证,等待验证
002144,宏达高科,重点关注/一击必中,90,等待验证,等待验证,等待验证
600273,嘉化能源,重点关注/一击必中,90,等待验证,等待验证,等待验证
000990,诚志股份,重点关注/一击必中,90,等待验证,等待验证,等待验证
603056,德邦股份,重点关注/一击必中,90,等待验证,等待验证,等待验证
000565,渝三峡Ａ,重点关注/一击必中,90,等待验证,等待验证,等待验证
002724,海洋王,重点关注/一击必中,90,等待验证,等待验证,等待验证
603916,苏博特,重点关注/一击必中,70,等待验证,等待验证,等待验证
600352,浙江龙盛,轻仓试错,60,等待验证,等待验证,等待验证
603958,哈森股份,轻仓试错,60,等待验证,等待验证,等待验证
601187,厦门银行,轻仓试错,50,等待验证,等待验证,等待验证
600732,爱旭股份,轻仓试错,50,等待验证,等待验证,等待验证
603010,万盛股份,轻仓试错,50,等待验证,等待验证,等待验证
000983,山西焦煤,轻仓试错,50,等待验证,等待验证,等待验证
600546,山煤国际,轻仓试错,50,等待验证,等待验证,等待验证
600678,四川金顶,观察,40,等待验证,等待验证,等待验证
603212,赛伍技术,观察,40,等待验证,等待验证,等待验证
600559,老白干酒,观察,40,等待验证,等待验证,等待验证
600197,伊力特,观察,40,等待验证,等待验证,等待验证
000599,青岛双星,观察,40,等待验证,等待验证,等待验证
002041,登海种业,观察,40,等待验证,等待验证,等待验证
600199,金种子酒,观察,40,等待验证,等待验证,等待验证
600403,大有能源,观察,40,等待验证,等待验证,等待验证
600173,卧龙新能,观察,40,等待验证,等待验证,等待验证
000860,顺鑫农业,观察,40,等待验证,等待验证,等待验证
002300,太阳电缆,观察,30,等待验证,等待验证,等待验证
600382,广东明珠,观察,30,等待验证,等待验证,等待验证
601699,潞安环能,观察,20,等待验证,等待验证,等待验证
000571,新大洲A,观察,20,等待验证,等待验证,等待验证
603806,福斯特,观察,20,等待验证,等待验证,等待验证
603599,广信股份,观察,20,等待验证,等待验证,等待验证
002345,潮宏基,观察,20,等待验证,等待验证,等待验证
601133,柏诚股份,观察,0,等待验证,等待验证,等待验证
603578,三星新材,观察,0,等待验证,等待验证,等待验证
002278,神开股份,观察,0,等待验证,等待验证,等待验证
002928,华夏航空,观察,0,等待验证,等待验证,等待验证
