code,name,advice,score,7日预期,14日预期,20日预期
002507,涪陵榨菜,重点关注/一击必中,90,等待验证,等待验证,等待验证
600143,金发科技,重点关注/一击必中,90,等待验证,等待验证,等待验证
603527,众源新材,重点关注/一击必中,70,等待验证,等待验证,等待验证
603213,镇洋发展,轻仓试错,50,等待验证,等待验证,等待验证
600689,上海三毛,轻仓试错,50,等待验证,等待验证,等待验证
600587,新华医疗,轻仓试错,50,等待验证,等待验证,等待验证
600919,江苏银行,轻仓试错,50,等待验证,等待验证,等待验证
600059,古越龙山,轻仓试错,50,等待验证,等待验证,等待验证
001219,青岛食品,轻仓试错,50,等待验证,等待验证,等待验证
000001,平安银行,轻仓试错,50,等待验证,等待验证,等待验证
603970,中农立华,轻仓试错,50,等待验证,等待验证,等待验证
002088,鲁阳节能,轻仓试错,50,等待验证,等待验证,等待验证
603167,渤海轮渡,轻仓试错,50,等待验证,等待验证,等待验证
002136,安 纳 达,轻仓试错,50,等待验证,等待验证,等待验证
002946,新乳业,轻仓试错,50,等待验证,等待验证,等待验证
000885,城发环境,轻仓试错,50,等待验证,等待验证,等待验证
002941,新疆交建,轻仓试错,50,等待验证,等待验证,等待验证
605555,德昌股份,观察,30,等待验证,等待验证,等待验证
600305,恒顺醋业,观察,30,等待验证,等待验证,等待验证
600219,南山铝业,观察,30,等待验证,等待验证,等待验证
605388,均瑶健康,观察,30,等待验证,等待验证,等待验证
601065,江盐集团,观察,30,等待验证,等待验证,等待验证
603056,德邦股份,观察,20,等待验证,等待验证,等待验证
600724,宁波富达,观察,20,等待验证,等待验证,等待验证
601101,昊华能源,观察,0,等待验证,等待验证,等待验证
600802,福建水泥,观察,0,等待验证,等待验证,等待验证
002068,黑猫股份,观察,0,等待验证,等待验证,等待验证
600135,乐凯胶片,观察,0,等待验证,等待验证,等待验证
