code,name,advice,score,7日预期,14日预期,20日预期
603966,法兰泰克,重点关注/一击必中,90,等待验证,等待验证,等待验证
600469,风神股份,重点关注/一击必中,90,等待验证,等待验证,等待验证
002468,申通快递,轻仓试错,60,等待验证,等待验证,等待验证
000695,滨海能源,轻仓试错,50,等待验证,等待验证,等待验证
605018,长华集团,轻仓试错,50,等待验证,等待验证,等待验证
600356,恒丰纸业,轻仓试错,50,等待验证,等待验证,等待验证
002107,沃华医药,轻仓试错,50,等待验证,等待验证,等待验证
002037,保利联合,观察,40,等待验证,等待验证,等待验证
600056,中国医药,观察,40,等待验证,等待验证,等待验证
600063,皖维高新,观察,30,等待验证,等待验证,等待验证
603056,德邦股份,观察,20,等待验证,等待验证,等待验证
002363,隆基机械,观察,0,等待验证,等待验证,等待验证
002797,第一创业,观察,0,等待验证,等待验证,等待验证
002177,御银股份,观察,0,等待验证,等待验证,等待验证
000670,盈方微,观察,0,等待验证,等待验证,等待验证
600713,南京医药,观察,0,等待验证,等待验证,等待验证
