code,name,advice,score,7日预期,14日预期,20日预期
002686,亿利达,重点关注/一击必中,90,等待验证,等待验证,等待验证
603995,甬金股份,重点关注/一击必中,70,等待验证,等待验证,等待验证
002236,大华股份,重点关注/一击必中,70,等待验证,等待验证,等待验证
600999,招商证券,轻仓试错,50,等待验证,等待验证,等待验证
600919,江苏银行,轻仓试错,50,等待验证,等待验证,等待验证
002299,圣农发展,轻仓试错,50,等待验证,等待验证,等待验证
601059,信达证券,观察,30,等待验证,等待验证,等待验证
600827,百联股份,观察,30,等待验证,等待验证,等待验证
600338,西藏珠峰,观察,30,等待验证,等待验证,等待验证
000623,吉林敖东,观察,30,等待验证,等待验证,等待验证
601966,玲珑轮胎,观察,30,等待验证,等待验证,等待验证
600295,鄂尔多斯,观察,30,等待验证,等待验证,等待验证
002941,新疆交建,观察,30,等待验证,等待验证,等待验证
000528,柳    工,观察,30,等待验证,等待验证,等待验证
002946,新乳业,观察,30,等待验证,等待验证,等待验证
603056,德邦股份,观察,20,等待验证,等待验证,等待验证
000990,诚志股份,观察,0,等待验证,等待验证,等待验证
600773,西藏城投,观察,0,等待验证,等待验证,等待验证
000811,冰轮环境,观察,0,等待验证,等待验证,等待验证
002815,崇达技术,观察,0,等待验证,等待验证,等待验证
000680,山推股份,观察,0,等待验证,等待验证,等待验证
