code,name,advice,score,7日预期,14日预期,20日预期
002686,亿利达,重点关注/一击必中,90,等待验证,等待验证,等待验证
603995,甬金股份,观察,40,等待验证,等待验证,等待验证
603038,华立股份,观察,30,等待验证,等待验证,等待验证
603527,众源新材,观察,30,等待验证,等待验证,等待验证
600470,六国化工,观察,30,等待验证,等待验证,等待验证
002068,黑猫股份,观察,30,等待验证,等待验证,等待验证
601101,昊华能源,观察,30,等待验证,等待验证,等待验证
603303,得邦照明,观察,20,等待验证,等待验证,等待验证
002705,新宝股份,观察,20,等待验证,等待验证,等待验证
603056,德邦股份,观察,20,等待验证,等待验证,等待验证
000885,城发环境,观察,20,等待验证,等待验证,等待验证
603167,渤海轮渡,观察,20,等待验证,等待验证,等待验证
600689,上海三毛,观察,20,等待验证,等待验证,等待验证
002946,新乳业,观察,20,等待验证,等待验证,等待验证
605050,福然德,观察,20,等待验证,等待验证,等待验证
002507,涪陵榨菜,观察,0,等待验证,等待验证,等待验证
601059,信达证券,观察,0,等待验证,等待验证,等待验证
603788,宁波高发,观察,0,等待验证,等待验证,等待验证
603578,三星新材,观察,0,等待验证,等待验证,等待验证
603970,中农立华,观察,0,等待验证,等待验证,等待验证
002962,五方光电,观察,0,等待验证,等待验证,等待验证
600295,鄂尔多斯,观察,0,等待验证,等待验证,等待验证
002539,云图控股,观察,0,等待验证,等待验证,等待验证
002088,鲁阳节能,观察,0,等待验证,等待验证,等待验证
600192,长城电工,观察,0,等待验证,等待验证,等待验证
600305,恒顺醋业,观察,0,等待验证,等待验证,等待验证
600587,新华医疗,观察,0,等待验证,等待验证,等待验证
002457,青龙管业,观察,0,等待验证,等待验证,等待验证
002236,大华股份,观察,0,等待验证,等待验证,等待验证
