code,name,advice,score,7日预期,14日预期,20日预期
603966,法兰泰克,重点关注/一击必中,90,等待验证,等待验证,等待验证
603949,雪龙集团,重点关注/一击必中,90,等待验证,等待验证,等待验证
600063,皖维高新,重点关注/一击必中,90,等待验证,等待验证,等待验证
002037,保利联合,重点关注/一击必中,90,等待验证,等待验证,等待验证
002468,申通快递,轻仓试错,60,等待验证,等待验证,等待验证
605336,帅丰电器,轻仓试错,60,等待验证,等待验证,等待验证
002363,隆基机械,轻仓试错,50,等待验证,等待验证,等待验证
000917,电广传媒,轻仓试错,50,等待验证,等待验证,等待验证
603222,济民健康,轻仓试错,50,等待验证,等待验证,等待验证
600469,风神股份,轻仓试错,50,等待验证,等待验证,等待验证
600056,中国医药,观察,40,等待验证,等待验证,等待验证
002177,御银股份,观察,40,等待验证,等待验证,等待验证
603348,文灿股份,观察,40,等待验证,等待验证,等待验证
600724,宁波富达,观察,20,等待验证,等待验证,等待验证
600847,万里股份,观察,20,等待验证,等待验证,等待验证
605018,长华集团,观察,20,等待验证,等待验证,等待验证
603056,德邦股份,观察,20,等待验证,等待验证,等待验证
600713,南京医药,观察,20,等待验证,等待验证,等待验证
