日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-07-10,600724,宁波富达,5.43,2.84%,1.15%,8,75.0%,9.58%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-07-10,600191,华资实业,8.85,0.91%,1.11%,8,75.0%,6.81%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-07-10,002053,云南能投,9.39,4.22%,1.57%,5,75.0%,2.88%,⭐⭐⭐,历史强势基因，重仓买入
2026-07-10,600428,中远海特,8.99,10.04%,1.65%,13,69.2%,2.87%,⭐⭐⭐,概率占优，分批建仓
2026-07-10,603028,赛福天,6.59,3.29%,2.07%,11,63.6%,5.46%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-07-10,000735,罗 牛 山,5.0,2.88%,2.24%,8,62.5%,2.05%,⭐⭐⭐,概率占优，分批建仓
2026-07-10,600468,百利电气,5.25,2.54%,2.34%,10,60.0%,10.33%,⭐⭐⭐,概率占优，分批建仓
2026-07-10,002698,博实股份,12.49,2.04%,2.41%,12,58.3%,-0.79%,⭐⭐⭐,概率占优，分批建仓
2026-07-10,000561,烽火电子,7.58,6.76%,5.14%,12,58.3%,4.59%,⭐⭐⭐,概率占优，分批建仓
2026-07-10,002331,皖通科技,7.02,2.78%,3.8%,11,54.5%,1.27%,⭐⭐⭐,概率占优，分批建仓
2026-07-10,000678,襄阳轴承,8.47,4.7%,3.93%,17,52.9%,14.83%,⭐⭐⭐,概率占优，分批建仓
2026-07-10,002639,雪人集团,12.59,3.45%,6.67%,17,52.9%,7.89%,⭐⭐⭐,概率占优，分批建仓
2026-07-10,002161,远 望 谷,5.28,1.54%,2.23%,8,50.0%,-1.11%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-10,603177,德创环保,8.65,8.67%,6.02%,6,50.0%,3.82%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-10,600480,凌云股份,8.8,2.33%,1.92%,11,45.5%,0.97%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-10,603969,银龙股份,7.67,1.59%,2.04%,12,41.7%,1.40%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-10,601611,中国核建,10.32,2.38%,1.38%,10,40.0%,0.81%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-10,603809,豪能股份,9.11,3.64%,1.86%,11,40.0%,-2.81%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-10,002471,中超控股,5.82,5.24%,11.29%,13,38.5%,3.44%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-10,002254,泰和新材,14.2,0.92%,6.45%,6,33.3%,2.21%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-10,603528,多伦科技,5.95,2.41%,2.02%,8,0.0%,-10.63%,⭐⭐⭐,历史表现平平，轻仓试错
