日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-07-01,600722,金牛化工,8.36,2.96%,3.89%,16,68.8%,29.30%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-07-01,002177,御银股份,5.79,2.3%,4.29%,20,60.0%,6.22%,⭐⭐⭐,概率占优，分批建仓
2026-07-01,002095,生 意 宝,13.22,3.28%,1.76%,15,53.8%,-1.65%,⭐⭐⭐,概率占优，分批建仓
2026-07-01,000987,越秀资本,8.17,4.48%,1.51%,3,50.0%,15.59%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-01,600676,交运股份,6.91,6.47%,2.85%,9,44.4%,1.47%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-01,002423,中粮资本,9.05,9.96%,1.77%,13,15.4%,-4.82%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-01,002446,盛路通信,11.18,4.1%,13.02%,4,0.0%,-8.15%,⭐⭐⭐,历史表现平平，轻仓试错
