日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-07-15,000686,东北证券,8.12,1.63%,1.14%,9,77.8%,9.47%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-07-15,603166,福达股份,10.83,1.98%,1.96%,12,75.0%,13.94%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-07-15,000973,佛塑科技,12.44,6.14%,7.15%,9,66.7%,6.34%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-07-15,000571,新大洲A,6.51,9.97%,2.9%,8,62.5%,3.19%,⭐⭐⭐,概率占优，分批建仓
2026-07-15,002053,云南能投,9.39,1.51%,0.9%,6,60.0%,-0.41%,⭐⭐⭐,概率占优，分批建仓
2026-07-15,002064,华峰化学,10.33,4.34%,0.85%,9,55.6%,0.13%,⭐⭐⭐,概率占优，分批建仓
2026-07-15,000404,长虹华意,7.55,2.03%,1.67%,2,50.0%,4.78%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,603035,常熟汽饰,10.95,2.34%,0.86%,10,50.0%,1.68%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,601611,中国核建,9.86,0.92%,0.61%,10,44.4%,1.39%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,002277,友阿股份,5.74,5.32%,2.12%,15,33.3%,-1.80%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,002072,凯瑞德,7.32,6.24%,4.14%,4,33.3%,-2.30%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,605300,佳禾食品,9.21,2.56%,1.15%,10,30.0%,-1.08%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,603366,日出东方,6.44,1.42%,1.11%,19,26.3%,-1.59%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,600199,金种子酒,6.94,9.98%,4.96%,12,25.0%,-1.99%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,000783,长江证券,9.06,2.03%,3.61%,2,100.0%,9.88%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-07-15,603333,尚纬股份,7.98,1.66%,2.03%,1,100.0%,21.97%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-07-15,601881,中国银河,13.09,1.87%,0.89%,1,100.0%,0.93%,⭐⭐⭐,历史强势基因，重仓买入
2026-07-15,601878,浙商证券,9.68,1.79%,0.84%,0,0.0%,0.00%,⭐⭐ (新股或首次触发),历史表现平平，轻仓试错
2026-07-15,600894,广日股份,7.74,1.31%,0.43%,2,0.0%,-16.98%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,601788,光大证券,14.96,1.22%,0.91%,0,0.0%,0.00%,⭐⭐ (新股或首次触发),历史表现平平，轻仓试错
2026-07-15,002883,中设股份,8.55,0.71%,0.52%,0,0.0%,0.00%,⭐⭐ (新股或首次触发),历史表现平平，轻仓试错
2026-07-15,601136,首创证券,14.13,0.71%,0.59%,1,0.0%,-8.85%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,002670,国盛证券,11.66,2.82%,1.67%,1,0.0%,0.00%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,000728,国元证券,7.46,2.19%,0.93%,2,0.0%,-4.76%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,601990,南京证券,6.9,3.29%,0.97%,1,0.0%,-0.41%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,600201,生物股份,12.21,2.52%,1.8%,1,0.0%,-2.58%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,002500,山西证券,5.42,1.5%,0.81%,2,0.0%,-0.89%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,000422,湖北宜化,12.97,1.33%,1.93%,1,0.0%,-4.63%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,603520,司太立,9.76,6.09%,5.38%,1,0.0%,0.00%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-15,601901,方正证券,7.23,1.26%,0.89%,1,0.0%,0.00%,⭐⭐⭐,历史表现平平，轻仓试错
