日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-07-09,002346,柘中股份,19.83,9.98%,0.78%,7,85.7%,4.94%,⭐⭐⭐,历史强势基因，重仓买入
2026-07-09,002052,同洲电子,8.08,3.46%,2.58%,10,70.0%,20.74%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-07-09,600058,五矿发展,11.3,6.6%,1.97%,6,66.7%,-0.86%,⭐⭐⭐,概率占优，分批建仓
2026-07-09,002208,合肥城建,19.12,10.01%,2.61%,11,63.6%,15.68%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-07-09,002907,华森制药,14.36,10.04%,3.71%,9,44.4%,-2.28%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-09,600909,华安证券,10.1,10.02%,6.38%,11,36.4%,-2.82%,⭐⭐⭐,历史表现平平，轻仓试错
2026-07-09,000417,合百集团,8.24,10.01%,3.83%,8,25.0%,-5.59%,⭐⭐⭐,历史表现平平，轻仓试错
