code,name,advice,score,7日预期,14日预期,20日预期
603317,天味食品,重点关注/一击必中,90,等待验证,等待验证,等待验证
000567,海德股份,轻仓试错,60,等待验证,等待验证,等待验证
002629,仁智股份,轻仓试错,60,等待验证,等待验证,等待验证
002313,日海智能,轻仓试错,50,等待验证,等待验证,等待验证
603336,宏辉果蔬,轻仓试错,50,等待验证,等待验证,等待验证
000783,长江证券,轻仓试错,50,等待验证,等待验证,等待验证
002591,恒大高新,轻仓试错,50,等待验证,等待验证,等待验证
002412,汉森制药,轻仓试错,50,等待验证,等待验证,等待验证
000952,广济药业,观察,40,等待验证,等待验证,等待验证
000565,渝三峡Ａ,观察,20,等待验证,等待验证,等待验证
002052,同洲电子,观察,20,等待验证,等待验证,等待验证
002334,英威腾,观察,20,等待验证,等待验证,等待验证
002453,华软科技,观察,20,等待验证,等待验证,等待验证
603056,德邦股份,观察,20,等待验证,等待验证,等待验证
002091,江苏国泰,观察,0,等待验证,等待验证,等待验证
002136,安 纳 达,观察,0,等待验证,等待验证,等待验证
600830,香溢融通,观察,0,等待验证,等待验证,等待验证
603017,中衡设计,观察,0,等待验证,等待验证,等待验证
