日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-01-23,688119,中钢洛耐,7.52,6.67%,6.71%,6,83.3%,6.73%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-01-23,600135,乐凯胶片,10.6,3.72%,4.97%,6,83.3%,9.57%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-01-23,000026,飞亚达,16.93,1.5%,2.11%,7,83.3%,5.39%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-01-23,600446,金证股份,16.51,1.1%,2.25%,6,83.3%,8.20%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-01-23,600973,宝胜股份,7.73,1.98%,4.29%,12,81.8%,6.92%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-01-23,600718,东软集团,11.48,1.5%,2.46%,5,80.0%,7.31%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-01-23,002243,力合科创,11.11,1.83%,1.79%,10,77.8%,0.56%,⭐⭐⭐,历史强势基因，重仓买入
2026-01-23,002725,跃岭股份,15.65,1.62%,4.74%,14,76.9%,6.41%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-01-23,600829,人民同泰,12.04,6.08%,9.17%,9,75.0%,9.41%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-01-23,002905,金逸影视,11.34,2.07%,2.49%,8,71.4%,5.02%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-01-23,600828,茂业商业,6.69,2.61%,3.55%,11,70.0%,11.29%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-01-23,000561,烽火电子,13.15,10.04%,11.47%,11,70.0%,7.60%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-01-22,002029,七 匹 狼,12.7,1.93%,3.2%,10,70.0%,4.89%,⭐⭐⭐,概率占优，分批建仓
2026-01-23,002423,中粮资本,11.93,1.1%,1.06%,14,7.1%,-6.79%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-23,002405,四维图新,11.24,9.98%,8.92%,6,66.7%,-0.02%,⭐⭐⭐,概率占优，分批建仓
2026-01-23,600748,上实发展,6.19,4.56%,1.62%,12,66.7%,2.30%,⭐⭐⭐,概率占优，分批建仓
2026-01-23,603169,兰石重装,11.72,1.91%,4.55%,7,66.7%,6.71%,⭐⭐⭐⭐⭐,概率占优，分批建仓
