日期,代码,名称,现价,涨跌幅,换手率,历史胜率,信号强度,操作建议
2026-01-16,002748,世龙实业,12.38,0.81%,4.27,54.93%,⭐⭐⭐,小仓试错
2026-01-16,605167,利柏特,17.24,10.02%,1.79,37.93%,⭐⭐⭐,小仓试错
