日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-01-20,603020,爱普股份,10.95,1.96%,1.66%,5,80.0%,5.11%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-01-20,605303,园林股份,19.09,6.35%,8.14%,13,76.9%,5.96%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-01-20,002772,众兴菌业,15.44,1.58%,2.55%,8,75.0%,4.47%,⭐⭐⭐,历史强势基因，重仓买入
2026-01-20,603877,太平鸟,16.84,3.0%,1.24%,4,75.0%,1.71%,⭐⭐⭐,历史强势基因，重仓买入
2026-01-22,002029,七 匹 狼,12.7,1.93%,3.2%,10,70.0%,4.89%,⭐⭐⭐,概率占优，分批建仓
2026-01-20,601512,中新集团,9.57,2.24%,0.7%,12,66.7%,0.66%,⭐⭐⭐,概率占优，分批建仓
2026-01-22,002905,金逸影视,11.11,1.74%,2.17%,8,62.5%,3.49%,⭐⭐⭐,概率占优，分批建仓
2026-01-20,002763,汇洁股份,8.07,3.86%,7.45%,10,60.0%,3.80%,⭐⭐⭐,概率占优，分批建仓
2026-01-20,002136,安 纳 达,12.83,0.71%,4.86%,8,57.1%,4.50%,⭐⭐⭐,概率占优，分批建仓
2026-01-22,002278,神开股份,13.36,4.87%,13.9%,7,57.1%,2.26%,⭐⭐⭐,概率占优，分批建仓
2026-01-20,001217,华尔泰,13.32,1.52%,3.42%,7,57.1%,1.50%,⭐⭐⭐,概率占优，分批建仓
2026-01-20,603116,红蜻蜓,6.49,1.41%,2.14%,9,55.6%,2.87%,⭐⭐⭐,概率占优，分批建仓
2026-01-22,000678,襄阳轴承,14.94,1.15%,4.5%,17,52.9%,16.71%,⭐⭐⭐,概率占优，分批建仓
2026-01-20,002003,伟星股份,10.48,1.26%,0.69%,7,50.0%,-0.51%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-20,000859,国风新材,12.62,2.94%,13.29%,14,50.0%,6.37%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-22,002413,雷科防务,14.22,9.13%,22.11%,10,50.0%,3.18%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-22,002347,泰尔股份,10.24,2.09%,8.44%,17,47.1%,-1.54%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-20,600909,华安证券,7.16,0.99%,1.52%,7,42.9%,-2.47%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-20,600284,浦东建设,8.61,1.06%,1.63%,7,42.9%,6.02%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-22,002235,安妮股份,10.08,1.0%,5.61%,10,40.0%,2.68%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-20,605369,拱东医疗,19.46,0.41%,0.57%,5,40.0%,-6.73%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-22,603278,大业股份,12.88,3.12%,7.17%,6,40.0%,7.10%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-20,600838,上海九百,14.07,10.01%,15.14%,19,38.9%,1.12%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-20,002277,友阿股份,7.95,3.52%,4.67%,10,33.3%,-0.37%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-20,603967,中创物流,13.17,0.38%,1.39%,11,33.3%,1.01%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-22,002383,合众思壮,11.74,2.35%,4.3%,10,30.0%,-6.07%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-20,601068,中铝国际,5.73,0.7%,0.77%,9,22.2%,-2.51%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-20,002572,索菲亚,14.27,5.63%,5.07%,12,16.7%,-5.18%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-20,003037,三和管桩,8.12,1.75%,2.33%,7,14.3%,-8.27%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-20,002561,徐家汇,9.58,2.9%,5.66%,9,12.5%,-4.25%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-20,600283,钱江水利,9.55,0.63%,0.93%,8,0.0%,-4.70%,⭐⭐⭐,历史表现平平，轻仓试错
2026-01-22,600271,航天信息,10.75,2.28%,2.43%,3,0.0%,-8.98%,⭐⭐⭐,历史表现平平，轻仓试错
