日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-03-31,600331,宏达股份,14.68,2.44%,3.87%,5,80.0%,8.36%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-03-31,600679,上海凤凰,12.06,0.84%,1.15%,14,71.4%,11.27%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-03-31,000863,三湘印象,5.71,10.02%,3.26%,5,60.0%,2.23%,⭐⭐⭐,概率占优，分批建仓
2026-03-31,000957,中通客车,11.52,3.97%,7.37%,14,50.0%,1.66%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-31,603035,常熟汽饰,14.05,2.33%,1.57%,11,45.5%,0.27%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-31,600476,湘邮科技,11.3,1.89%,4.9%,7,33.3%,-7.71%,⭐⭐⭐,历史表现平平，轻仓试错
2026-03-31,002003,伟星股份,9.85,0.41%,0.53%,12,27.3%,-1.23%,⭐⭐⭐,历史表现平平，轻仓试错
