日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-05-06,600126,杭钢股份,9.13,4.46%,4.65%,11,72.7%,14.66%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-05-06,000586,汇源通信,18.28,3.22%,7.84%,12,66.7%,3.39%,⭐⭐⭐,概率占优，分批建仓
2026-05-06,603777,来伊份,18.07,9.98%,4.92%,8,66.7%,20.13%,⭐⭐⭐⭐⭐,概率占优，分批建仓
2026-05-06,600703,三安光电,14.68,7.39%,6.6%,7,57.1%,2.37%,⭐⭐⭐,概率占优，分批建仓
2026-05-06,603633,徕木股份,8.43,1.81%,3.33%,9,55.6%,-1.75%,⭐⭐⭐,概率占优，分批建仓
2026-05-06,002413,雷科防务,13.31,1.29%,7.27%,14,53.8%,2.59%,⭐⭐⭐,概率占优，分批建仓
2026-05-06,002438,江苏神通,16.53,2.54%,1.94%,12,50.0%,1.63%,⭐⭐⭐,历史表现平平，轻仓试错
2026-05-06,002268,电科网安,16.1,2.68%,1.25%,9,44.4%,-1.82%,⭐⭐⭐,历史表现平平，轻仓试错
2026-05-06,600480,凌云股份,10.3,1.88%,2.72%,10,40.0%,0.38%,⭐⭐⭐,历史表现平平，轻仓试错
2026-05-06,000810,创维数字,12.86,1.34%,1.95%,9,37.5%,-1.24%,⭐⭐⭐,历史表现平平，轻仓试错
2026-05-06,600855,航天长峰,18.82,1.07%,3.33%,9,33.3%,-5.33%,⭐⭐⭐,历史表现平平，轻仓试错
2026-05-06,603339,四方科技,13.9,1.68%,1.89%,19,31.6%,-1.79%,⭐⭐⭐,历史表现平平，轻仓试错
2026-05-06,002708,光洋股份,13.51,1.27%,3.02%,8,25.0%,-3.45%,⭐⭐⭐,历史表现平平，轻仓试错
2026-05-06,002559,亚威股份,10.58,2.52%,4.26%,12,25.0%,-3.17%,⭐⭐⭐,历史表现平平，轻仓试错
2026-05-06,003040,楚天龙,15.09,2.03%,1.53%,9,22.2%,-3.18%,⭐⭐⭐,历史表现平平，轻仓试错
2026-05-06,000559,万向钱潮,16.62,3.29%,2.43%,6,0.0%,-8.97%,⭐⭐⭐,历史表现平平，轻仓试错
2026-05-06,600848,上海临港,9.15,1.89%,0.68%,3,0.0%,-8.47%,⭐⭐⭐,历史表现平平，轻仓试错
